feature,human_mean,human_std,ai_mean,ai_std,diff_ai_minus_human,ratio_ai_over_human,cohens_d
coordination_count_per_1k_words,38.20414656188149,23.194662304109613,53.751830824195565,16.769847415447256,15.547684262314078,1.4069632660719325,0.768210784308878
flesch_reading_ease,53.93290612852416,21.27047103786221,44.79099923961932,9.559068211574365,-9.141906888904842,0.8304948213411802,-0.5544070018890267
coordination_count,3.1113782051282053,2.4783777756724694,10.332532051282051,4.329177708305188,7.221153846153846,3.3208859129539015,2.0472001851843173
colon_per_1k_words,3.1035289813467464,14.31785298731249,7.629339797662895,11.966862959414087,4.525810816316149,2.4582788959013415,0.34299897142922176
flesch_kincaid_grade,9.268782025289735,4.32510183105724,12.329861042274697,2.1054894927169845,3.061079016984962,1.330256878264356,0.899936136422313
clause_depth,8.39102564102564,2.402080675062854,10.630608974358974,2.332214124878303,2.239583333333334,1.2669022154316272,0.946007628987351
em_dash_per_1k_words,1.5925470882651542,10.109522104001888,0.03175932719557726,0.4634519539512064,-1.560787761069577,0.01994247292880638,-0.21810837733618554
marker_adjectives_total_per_1k_words,0.010994212982414861,0.2841938826133731,1.5219247174549133,3.080066268877625,1.5109305044724985,138.42961928145448,0.690809916991484
colon_count,0.16185897435897437,0.5169962030044323,1.642628205128205,2.537388768758725,1.4807692307692306,10.148514851485148,0.8086911465611044
hedge_count,0.7596153846153846,1.106909340551145,2.15625,1.7048756089582753,1.3966346153846154,2.838607594936709,0.9716851641759608
list_of_three,0.5777243589743589,0.9704787371673297,1.544871794871795,1.5405471849637007,0.967147435897436,2.6740638002773927,0.7512048945964557
sequential_markers_total_per_1k_words,2.4252709320500156,9.313128915741542,1.4630123225294995,3.0124867499618753,-0.9622586095205161,0.6032366541798507,-0.13902811595929113
list_of_three_per_1k_words,7.119485465539501,12.4043952353398,8.073347565956265,8.056384105773882,0.9538621004167638,1.1339790782681909,0.09120158669456266
avg_words_per_sentence,22.450564829502152,18.56400921714425,21.577465939480987,4.523477779149398,-0.8730988900211649,0.9611101592921247,-0.06462221824586435
clause_depth_per_sentence,1.9830138287499826,1.4264119064083292,1.1669927951806822,0.4254224106379363,-0.8160210335693003,0.5884945320408131,-0.7752954360195741
summary_markers_total_per_1k_words,0.07220030841723582,0.9923642437880137,0.737769101340558,2.215310285747331,0.6655687929233222,10.218364955965148,0.3877594022475152
coordination_density,0.6203807296302752,0.5938925612219929,1.0542558676949862,0.37511556849921657,0.433875138064711,1.6993691411454463,0.8735169972217286
marker_density,0.8661853911266348,3.8003708742011244,1.2678586170082324,3.049202606724256,0.4016732258815976,1.4637266224949224,0.11658518333150086
marker_words_total_per_1k_words,0.8661853911266348,3.8003708742011244,1.2678586170082324,3.049202606724256,0.4016732258815976,1.4637266224949224,0.11658518333150086
causal_markers_total_per_1k_words,0.3415164984469933,2.2837277297465985,0.0,0.0,-0.3415164984469933,0.0,-0.21148635959834794
semicolon_per_1k_words,0.32144759805909345,3.554257413787213,0.016679336223070454,0.4225880619474954,-0.304768261836023,0.05188819678162349,-0.12041696788218047
marker_adjectives_total,0.0016025641025641025,0.04001598389339682,0.28525641025641024,0.577893138486518,0.28365384615384615,178.0,0.6924962783084903
adjective_potential,0.0008012820512820513,0.028306925853614894,0.28365384615384615,0.5772946185033755,0.2828525641025641,354.0,0.6920797565519397
sentence_depth_std,1.6819162250208342,1.3125904249430351,1.9518260021000475,0.7311627120906263,0.2699097770792134,1.1604775392875883,0.2540507333443017
marker_words_total,0.07131410256410256,0.2896961393339301,0.24599358974358973,0.5772205947772987,0.17467948717948717,3.4494382022471908,0.382501306744462
contrast_markers_total_per_1k_words,0.16819217346165555,1.59319501303007,0.0,0.0,-0.16819217346165555,0.0,-0.14929726169685922
summary_markers_total,0.008012820512820512,0.1056536222134661,0.14983974358974358,0.4432329720146376,0.14182692307692307,18.7,0.44019085395853547
summary_marker_overall,0.00641025641025641,0.09788754307668251,0.14022435897435898,0.42989782376385005,0.13381410256410256,21.875,0.42921543643992305
emphasis_markers_total_per_1k_words,0.044001227594879365,0.850866941000401,0.17474447037551952,1.0330298185333826,0.13074324278064015,3.9713544354806904,0.13815648755712726
dependency_length_norm,2.855767472046332,0.6608635484747399,2.982615485542613,0.30825111411643347,0.12684801349628083,1.0444181869630256,0.24600338830282353
sequential_marker_further,0.1578525641025641,0.40831675212461377,0.2644230769230769,0.5333620232141061,0.10657051282051283,1.6751269035532996,0.22437199754307713
sequential_markers_total,0.1594551282051282,0.40965534977977675,0.2644230769230769,0.5333620232141061,0.10496794871794873,1.6582914572864322,0.22073031820726835
word_while,0.04006410256410257,0.21190849062175426,0.14102564102564102,0.4397815007338534,0.10096153846153846,3.5199999999999996,0.29248063157183385
dependency_entropy,2.824350773772158,0.19358060782290706,2.8959284078497594,0.17006622492616003,0.07157763407760154,1.025343039803092,0.3928452157810667
dale_chall,10.046808697632537,1.412325764005289,10.093131816232995,0.9002724187037046,0.04632311860045846,1.0046107296351103,0.03911419486941367
em_dash_count,0.04246794871794872,0.21705397670507523,0.00641025641025641,0.08932033279952423,-0.03605769230769231,0.1509433962264151,-0.21725729580239705
avg_syllables_per_word,1.6821685940138695,0.26605115862771384,1.6495160291057192,0.11833594849177909,-0.03265256490815038,0.9805890057486824,-0.15858738902632222
sentence_depth_cv,0.30139504625927516,0.21099218823847157,0.2690129553896815,0.0988965894047282,-0.03238209086959365,0.892559312863633,-0.19652916684009586
word_particularly,0.002403846153846154,0.04898970041777787,0.03365384615384615,0.1973898207822964,0.03125,13.999999999999998,0.21730034256244402
