feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
certainty_ratio,47.55162504881906,0.0015166069087151571,3.5843524585329836,0.00016658039613605955,0.0001589700370006383,2026.0,0.1167787319710671
adjective_comprehensive_per_1k_words,287.51882980387416,0.0019223395620204843,4.391590909532425,0.0565403565153526,0.00015665732648811412,2026.0,0.1480201462755773
word_insight_per_1k_words,168.14722508819972,0.00479950924227072,3.4334630273448132,0.038553854908698434,0.00015113765516320494,2026.0,0.3695622116548455
summary_marker_ultimately_per_1k_words,175.95969124576823,0.0054249386595259675,1.9625782672982721,0.0037578478139378953,0.01182938210140292,2026.0,0.4177202767834995
word_finding_per_1k_words,186.81580411796668,0.00555622153279968,4.121572467985261,0.05640351508379645,0.00021580096790020238,2026.0,0.42782905802557536
sequential_marker_furthermore_per_1k_words,44.839250639293944,0.008111493727524847,1.979542039516396,0.020711119600422243,0.0029996134204835164,2026.0,0.6245850170194132
coordination_count,23.905163641175612,0.009478649380349776,3.289255917541432,0.1880362315793973,1.2970279414008658e-06,2019.0,0.7298560022869328
verb_underscore_per_1k_words,5566.789084064733,0.009869547827988028,5.2771205413835744,0.020560650730274938,0.002041909683011746,2026.0,0.7599551827550781
word_within_per_1k_words,141.84775177098155,0.010509468400886367,3.980104603303517,0.05169484917113748,0.0002362134173279861,2026.0,0.8092290668682502
causal_marker_thereby_per_1k_words,225.73344869806806,0.013163394087277756,3.1106499218322083,0.02739182633075947,0.000966441070828875,2026.0,1.0
causal_marker_hence_per_1k_words,-61.04424074266842,0.013373355241390945,-1.3886883109200627,-0.01795664114252282,0.02552726433124326,2026.0,1.0
adjective_crucial_per_1k_words,252.25031316225184,0.013818582519987176,2.6936179160293805,0.031940888746351384,0.0003950591025677177,2026.0,1.0
causal_marker_consequently_per_1k_words,115.7328378271156,0.01431420877897144,1.8804742230812517,0.0064936817408019765,0.01966714011161674,2026.0,1.0
word_notably_per_1k_words,211.36630367824057,0.016892614012119785,2.9752863583177023,0.01214238913851037,0.002096435511170952,2026.0,1.0
emphasis_marker_notably_per_1k_words,211.36630367824057,0.016892614012119785,2.9752863583177023,0.01214238913851037,0.002096435511170952,2026.0,1.0
clause_depth,-3.3741359954236483,0.01876383350506904,-2.604502165935317,-0.059394876348366515,7.934875623670604e-05,2026.0,1.0
verb_enhance_per_1k_words,445.789967038244,0.02098454296664477,3.655193505117409,0.12147525187623076,0.0016339041576374058,2019.0,1.0
verb_exhibit_per_1k_words,118.11638068338914,0.021969988519448085,3.479165773457901,0.024190421519429583,0.003262480085310768,2026.0,1.0
emphasis_marker_particularly_per_1k_words,146.64602066016937,0.022970072044512298,3.196972846597053,0.028677994715363864,0.006822575440834071,2026.0,1.0
word_particularly_per_1k_words,146.64602066016937,0.022970072044512298,3.196972846597053,0.028677994715363864,0.006822575440834071,2026.0,1.0
verb_align_per_1k_words,908.0997260868178,0.025817583592955516,3.4586394220204526,0.051805969875168674,0.00026687776365317347,2026.0,1.0
verb_garner_per_1k_words,157.23421332723282,0.026124924699197614,1.428208883548151,0.0011560653126173011,0.26636533389687633,2026.0,1.0
colon_per_1k_words,65.82177599611184,0.02818833558669466,3.186257478221627,0.2704661709567141,0.0007815352204406042,2019.0,1.0
clause_depth_std,-6.3884740042081125,0.02867340481374616,-2.718630712076936,-0.021601779465033787,4.616798738458762e-05,2026.0,1.0
sentence_depth_std,-6.3884740042081125,0.02867340481374616,-2.718630712076936,-0.021601779465033787,4.616798738458762e-05,2026.0,1.0
verb_foster_per_1k_words,409.31859099358127,0.03430542117671374,2.1425705841533498,0.003728211394796958,0.031320205856992356,2026.0,1.0
word_while_per_1k_words,85.77909645933508,0.0385062142055275,2.822773068330194,0.18605510683223508,0.0010110842564874047,2024.0,1.0
emphasis_marker_crucially_per_1k_words,187.2174561786531,0.044812484022315906,2.0172281298871173,0.003664927006583703,0.0007606688841744903,2026.0,1.0
word_additionally_per_1k_words,151.0231383060079,0.04529458307268183,2.2247824860633267,0.025840631016960974,0.02011302202392756,2026.0,1.0
sequential_marker_additionally_per_1k_words,151.0231383060079,0.04529458307268183,2.2247824860633267,0.025840631016960974,0.02011302202392756,2026.0,1.0
adjective_potential_per_1k_words,129.4160782711039,0.05185559060825378,2.5047900607526485,0.04757828776237229,0.021245470598368947,2026.0,1.0
adjective_pivotal_per_1k_words,679.5031366492371,0.05246574996079087,2.584686207968938,0.004717951473436666,0.024057752942219107,2026.0,1.0
word_across_per_1k_words,298.2585302876869,0.05523784218076351,2.674442074771326,0.23884133433011043,0.0009651294329274031,2024.0,1.0
