year,paper_count,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
2015,2300,401993.0,410943,19939,22699,42638,53827,52749,53622,28923,106576,82545,49.60036617553042,56.466157370899495,106.0665235464299,265.119044361469,205.33939645715225,0.4676345044326657,0.2593449699836717,0.2008672735634869,0.7745177150577991
2016,2461,428954.0,438250,20495,23815,44310,56774,55466,58090,31150,112240,89240,47.77901593177823,55.5187735747889,103.29778950656714,261.6597583890114,208.0409554404435,0.4625366734371474,0.2561095265259555,0.2036280661722761,0.7950819672131147
2017,2486,436188.0,445264,20805,24488,45293,57193,55691,58760,30960,112884,89720,47.69732317257696,56.14093005768155,103.83825323025852,258.7966656579273,205.69112401074764,0.4593425032565739,0.2535215063423048,0.2014984368823889,0.7947981999220438
2018,2731,488480.0,499089,23138,26712,49850,64512,62854,67044,35392,127366,102436,47.3673435964625,54.6839174582378,102.05126105470029,260.73943661971833,209.70357025876189,0.46415245737211636,0.25519696887729443,0.2052459581357233,0.8042648744562914
2019,2916,528222.0,540259,24156,28886,53042,69017,66967,71855,40079,135984,111934,45.73077228892398,54.68534063329433,100.4161129222183,257.43721389870166,211.9071148115754,0.45541269182911653,0.25170149872561126,0.20718581273056072,0.8231409577597364
2020,4257,768834.0,790877,37016,43439,80455,101856,98607,101829,55407,200463,157236,48.145633517768466,56.49984261882279,104.64547613659126,260.7363878288421,204.51228743786046,0.46008327636567026,0.2534692499592225,0.1988122046791094,0.784364196884213
2021,3301,601746.0,616943,27416,33160,60576,77907,75281,82001,45056,153188,127057,45.560751546333506,55.106307312387614,100.66705885872112,254.57252727895158,211.14722823251006,0.45258848388800843,0.24830170696482495,0.20594609226460142,0.8294187534271614
2022,3225,601026.0,615411,25814,32691,58505,76548,73622,82567,46396,150170,128963,42.94988902310382,54.39198969761708,97.3418787207209,249.85607943749523,214.57141621161148,0.4412272455345697,0.24401578782309707,0.20955589029120378,0.8587800492774855
2023,3789,702050.0,719527,28635,37622,66257,89368,85289,98314,55066,174657,153380,40.78769318424614,53.58877572822448,94.37646891247061,248.7814258243715,218.47446763051065,0.4321807507131322,0.2427386324627151,0.21316781719101577,0.8781783724671786
2024,4383,811011.0,830635,29908,43269,73177,101633,96401,117189,65519,198034,182708,36.87742829628698,53.35192740912269,90.22935570540967,244.1816448852112,225.2842439868263,0.40870765404430354,0.23841278058352947,0.2199618364263485,0.9226092489168527
2025,5067,943205.0,968201,28511,47050,75561,110870,105068,147697,80845,215938,228542,30.22778717245986,49.88311130666186,80.11089847912172,228.94068627710837,242.3036349468037,0.37732428104445415,0.22303013527149837,0.2360480933194657,1.0583686058035178
2026,1508,283812.0,292558,8105,13450,21555,31859,30669,46904,25682,62528,72586,28.557636745451216,47.390526122926445,75.94816286837766,220.31485631333416,255.7538088593858,0.376014845743447,0.21372855980694427,0.24810806746012756,1.1608559365404298
