paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
10.1101/19002048,2019,2019-07-14,13.0,13,0,0,0,1,1,3,1,2,4,0.0,0.0,0.0,153.84615384615387,307.69230769230774,0.0,0.15384615384615385,0.3076923076923077,2.0
10.1101/19001834,2019,2019-07-13,15.0,15,0,1,1,1,1,2,1,2,3,0.0,66.66666666666667,66.66666666666667,133.33333333333334,200.0,0.0,0.13333333333333333,0.2,1.5
10.1101/19002139,2019,2019-07-15,11.0,12,0,0,0,3,3,3,0,6,3,0.0,0.0,0.0,545.4545454545454,272.7272727272727,0.0,0.5,0.25,0.5
10.1101/19002154,2019,2019-07-15,14.0,14,0,0,0,3,3,6,0,6,6,0.0,0.0,0.0,428.57142857142856,428.57142857142856,0.0,0.42857142857142855,0.42857142857142855,1.0
10.1101/19002238,2019,2019-07-15,11.0,11,0,1,1,2,2,1,1,4,2,0.0,90.9090909090909,90.9090909090909,363.6363636363636,181.8181818181818,0.0,0.36363636363636365,0.18181818181818182,0.5
10.1101/19001784,2019,2019-07-15,23.0,23,0,1,1,2,2,3,1,4,4,0.0,43.47826086956522,43.47826086956522,173.91304347826087,173.91304347826087,0.0,0.17391304347826086,0.17391304347826086,1.0
10.1101/19002121,2019,2019-07-15,11.0,11,0,0,0,3,3,1,1,6,2,0.0,0.0,0.0,545.4545454545454,181.8181818181818,0.0,0.5454545454545454,0.18181818181818182,0.3333333333333333
10.1101/19002402,2019,2019-07-15,10.0,10,0,0,0,0,0,2,4,0,6,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.6,
10.1101/19002204,2019,2019-07-15,9.0,9,1,0,1,1,1,2,0,2,2,111.1111111111111,0.0,111.1111111111111,222.2222222222222,222.2222222222222,1.0,0.2222222222222222,0.2222222222222222,1.0
10.1101/19002105,2019,2019-07-15,22.0,25,1,0,1,5,4,4,1,9,5,45.45454545454545,0.0,45.45454545454545,409.0909090909091,227.27272727272725,1.0,0.36,0.2,0.5555555555555556
10.1101/19000943,2019,2019-07-15,10.0,10,0,0,0,2,2,1,3,4,4,0.0,0.0,0.0,400.0,400.0,0.0,0.4,0.4,1.0
10.1101/19002063,2019,2019-07-16,7.0,7,0,0,0,1,1,4,0,2,4,0.0,0.0,0.0,285.7142857142857,571.4285714285714,0.0,0.2857142857142857,0.5714285714285714,2.0
10.1101/19002519,2019,2019-07-16,9.0,9,0,0,0,2,2,1,1,4,2,0.0,0.0,0.0,444.4444444444444,222.2222222222222,0.0,0.4444444444444444,0.2222222222222222,0.5
10.1101/19001313,2019,2019-07-16,14.0,14,1,1,2,2,2,3,4,4,7,71.42857142857143,71.42857142857143,142.85714285714286,285.7142857142857,500.0,0.5,0.2857142857142857,0.5,1.75
10.1101/19002436,2019,2019-07-16,11.0,11,0,0,0,0,0,3,2,0,5,0.0,0.0,0.0,0.0,454.5454545454545,0.0,0.0,0.45454545454545453,
10.1101/19002147,2019,2019-07-16,12.0,12,0,0,0,1,1,3,1,2,4,0.0,0.0,0.0,166.66666666666666,333.3333333333333,0.0,0.16666666666666666,0.3333333333333333,2.0
10.1101/19002378,2019,2019-07-16,12.0,13,0,0,0,3,3,3,1,6,4,0.0,0.0,0.0,500.0,333.3333333333333,0.0,0.46153846153846156,0.3076923076923077,0.6666666666666666
10.1101/19002410,2019,2019-07-16,15.0,15,1,0,1,3,4,3,0,7,3,66.66666666666667,0.0,66.66666666666667,466.6666666666667,200.0,1.0,0.4666666666666667,0.2,0.42857142857142855
10.1101/19002345,2019,2019-07-16,8.0,8,0,0,0,1,1,1,2,2,3,0.0,0.0,0.0,250.0,375.0,0.0,0.25,0.375,1.5
10.1101/19002246,2019,2019-07-16,19.0,19,0,1,1,3,3,2,2,6,4,0.0,52.63157894736842,52.63157894736842,315.7894736842105,210.52631578947367,0.0,0.3157894736842105,0.21052631578947367,0.6666666666666666
10.1101/19001883,2019,2019-07-19,17.0,18,0,1,1,1,1,1,2,2,3,0.0,58.8235294117647,58.8235294117647,117.6470588235294,176.47058823529412,0.0,0.1111111111111111,0.16666666666666666,1.5
10.1101/19001180,2019,2019-07-19,12.0,12,0,0,0,2,2,4,0,4,4,0.0,0.0,0.0,333.3333333333333,333.3333333333333,0.0,0.3333333333333333,0.3333333333333333,1.0
10.1101/19002030,2019,2019-07-19,15.0,17,0,1,1,2,2,5,4,4,9,0.0,66.66666666666667,66.66666666666667,266.6666666666667,600.0,0.0,0.23529411764705882,0.5294117647058824,2.25
10.1101/19002097,2019,2019-07-19,15.0,15,1,1,2,3,3,3,2,6,5,66.66666666666667,66.66666666666667,133.33333333333334,400.0,333.3333333333333,0.5,0.4,0.3333333333333333,0.8333333333333334
10.1101/19002527,2019,2019-07-19,12.0,13,0,0,0,3,3,3,2,6,5,0.0,0.0,0.0,500.0,416.6666666666667,0.0,0.46153846153846156,0.38461538461538464,0.8333333333333334
10.1101/19002220,2019,2019-07-19,16.0,16,0,1,1,1,1,4,0,2,4,0.0,62.5,62.5,125.0,250.0,0.0,0.125,0.25,2.0
10.1101/19001685,2019,2019-07-13,13.0,13,0,0,0,2,2,3,1,4,4,0.0,0.0,0.0,307.69230769230774,307.69230769230774,0.0,0.3076923076923077,0.3076923076923077,1.0
10.1101/19002501,2019,2019-07-19,16.0,16,1,0,1,1,1,5,3,2,8,62.5,0.0,62.5,125.0,500.0,1.0,0.125,0.5,4.0
10.1101/19002584,2019,2019-07-19,13.0,13,0,1,1,2,2,3,1,4,4,0.0,76.92307692307693,76.92307692307693,307.69230769230774,307.69230769230774,0.0,0.3076923076923077,0.3076923076923077,1.0
10.1101/19002691,2019,2019-07-20,12.0,12,1,0,1,3,3,1,2,6,3,83.33333333333333,0.0,83.33333333333333,500.0,250.0,1.0,0.5,0.25,0.5
