topic_id,topic_label
0,"protein, drug, datasets, graph, language, phylogenetic, proteins"
1,"eeg, fmri, connectivity, task, neural networks, neuronal, representations"
2,"protein, proteins, membrane, tissue, folding, tumor, reaction networks"
3,"predator, prey, extinction, dispersal, coexistence, biodiversity, ecosystems"
4,"epidemic, infected, pandemic, outbreak, vaccination, sir, reproduction number"
5,"cooperation, game, social, games, punishment, payoff, cooperators"
6,"crop, breeding, cuttings, stress, germination, oil, feed"
7,"drug, bone, nanoparticles, tissue, mesoporous, delivery, scaffolds"
8,"radiation, photosynthetic, oxygen, photosynthesis, electron, wastewater, radical pair"
