paperId,year,publicationDate,word_count,nonpunct_dependency_count,det_pobj_count,det_non_pobj_count,det_total_count,prep_count,pobj_count,amod_count,compound_count,prepositional_modifier_count,prenominal_modifier_count,det_pobj_per_1k_words,det_non_pobj_per_1k_words,det_total_per_1k_words,prepositional_modifier_per_1k_words,prenominal_modifier_per_1k_words,det_pobj_share_of_det,prepositional_modifier_role_prop,prenominal_modifier_role_prop,prenominal_to_prepositional_ratio
1501.01437v1,2015,2015-01-07,11.0,12,0,0,0,3,3,1,3,6,4,0.0,0.0,0.0,545.4545454545454,363.6363636363636,0.0,0.5,0.3333333333333333,0.6666666666666666
1501.05605v2,2015,2015-01-03,17.0,17,2,0,2,3,4,2,5,7,7,117.6470588235294,0.0,117.6470588235294,411.7647058823529,411.7647058823529,1.0,0.4117647058823529,0.4117647058823529,1.0
1501.07854v1,2015,2015-01-30,20.0,22,1,0,1,4,4,1,7,8,8,50.0,0.0,50.0,400.0,400.0,1.0,0.36363636363636365,0.36363636363636365,1.0
1501.07795v1,2015,2015-01-30,18.0,20,0,2,2,1,1,3,3,2,6,0.0,111.1111111111111,111.1111111111111,111.1111111111111,333.3333333333333,0.0,0.1,0.3,3.0
1501.07194v1,2015,2015-01-28,9.0,9,1,0,1,2,2,2,1,4,3,111.1111111111111,0.0,111.1111111111111,444.4444444444444,333.3333333333333,1.0,0.4444444444444444,0.3333333333333333,0.75
1501.07185v3,2015,2015-01-28,10.0,10,0,0,0,2,1,0,2,3,2,0.0,0.0,0.0,300.0,200.0,0.0,0.3,0.2,0.6666666666666666
1501.06640v2,2015,2015-01-27,13.0,13,0,1,1,2,1,2,1,3,3,0.0,76.92307692307693,76.92307692307693,230.76923076923077,230.76923076923077,0.0,0.23076923076923078,0.23076923076923078,1.0
1501.05406v2,2015,2015-01-22,12.0,12,0,1,1,1,1,3,1,2,4,0.0,83.33333333333333,83.33333333333333,166.66666666666666,333.3333333333333,0.0,0.16666666666666666,0.3333333333333333,2.0
1501.03805v1,2015,2015-01-15,11.0,11,1,0,1,3,3,2,1,6,3,90.9090909090909,0.0,90.9090909090909,545.4545454545454,272.7272727272727,1.0,0.5454545454545454,0.2727272727272727,0.5
1501.01677v1,2015,2015-01-07,13.0,13,1,1,2,3,3,2,0,6,2,76.92307692307693,76.92307692307693,153.84615384615387,461.53846153846155,153.84615384615387,0.5,0.46153846153846156,0.15384615384615385,0.3333333333333333
1512.05758v2,2015,2015-01-06,8.0,8,0,0,0,0,0,2,1,0,3,0.0,0.0,0.0,0.0,375.0,0.0,0.0,0.375,
1501.07546v1,2015,2015-01-29,10.0,10,1,1,2,2,2,2,1,4,3,100.0,100.0,200.0,400.0,300.0,0.5,0.4,0.3,0.75
1501.06194v1,2015,2015-01-25,7.0,7,0,0,0,1,1,1,0,2,1,0.0,0.0,0.0,285.7142857142857,142.85714285714286,0.0,0.2857142857142857,0.14285714285714285,0.5
1501.06101v2,2015,2015-01-25,14.0,15,0,0,0,1,0,1,1,1,2,0.0,0.0,0.0,71.42857142857143,142.85714285714286,0.0,0.06666666666666667,0.13333333333333333,2.0
1501.05353v1,2015,2015-01-21,12.0,12,0,0,0,2,2,4,1,4,5,0.0,0.0,0.0,333.3333333333333,416.6666666666667,0.0,0.3333333333333333,0.4166666666666667,1.25
1501.05035v4,2015,2015-01-21,23.0,23,2,0,2,5,6,1,2,11,3,86.95652173913044,0.0,86.95652173913044,478.26086956521743,130.43478260869566,1.0,0.4782608695652174,0.13043478260869565,0.2727272727272727
1501.04268v1,2015,2015-01-18,5.0,5,0,0,0,1,1,0,2,2,2,0.0,0.0,0.0,400.0,400.0,0.0,0.4,0.4,1.0
1501.04128v3,2015,2015-01-16,7.0,7,0,0,0,0,0,3,1,0,4,0.0,0.0,0.0,0.0,571.4285714285714,0.0,0.0,0.5714285714285714,
1501.03782v2,2015,2015-01-15,13.0,13,0,1,1,3,3,1,2,6,3,0.0,76.92307692307693,76.92307692307693,461.53846153846155,230.76923076923077,0.0,0.46153846153846156,0.23076923076923078,0.5
1501.00717v1,2015,2015-01-04,9.0,9,1,0,1,1,2,0,4,3,4,111.1111111111111,0.0,111.1111111111111,333.3333333333333,444.4444444444444,1.0,0.3333333333333333,0.4444444444444444,1.3333333333333333
1501.00302v2,2015,2015-01-01,11.0,11,0,1,1,2,1,1,2,3,3,0.0,90.9090909090909,90.9090909090909,272.7272727272727,272.7272727272727,0.0,0.2727272727272727,0.2727272727272727,1.0
1501.07668v1,2015,2015-01-30,9.0,9,0,0,0,1,1,1,0,2,1,0.0,0.0,0.0,222.2222222222222,111.1111111111111,0.0,0.2222222222222222,0.1111111111111111,0.5
1501.07342v2,2015,2015-01-29,10.0,10,0,0,0,1,1,2,0,2,2,0.0,0.0,0.0,200.0,200.0,0.0,0.2,0.2,1.0
1502.01734v1,2015,2015-01-27,11.0,11,0,1,1,3,3,2,0,6,2,0.0,90.9090909090909,90.9090909090909,545.4545454545454,181.8181818181818,0.0,0.5454545454545454,0.18181818181818182,0.3333333333333333
1501.05731v1,2015,2015-01-23,9.0,9,0,0,0,1,1,4,1,2,5,0.0,0.0,0.0,222.2222222222222,555.5555555555555,0.0,0.2222222222222222,0.5555555555555556,2.5
1501.04709v2,2015,2015-01-20,17.0,18,0,0,0,2,0,5,1,2,6,0.0,0.0,0.0,117.6470588235294,352.94117647058823,0.0,0.1111111111111111,0.3333333333333333,3.0
1501.04015v1,2015,2015-01-16,10.0,10,0,0,0,1,1,3,1,2,4,0.0,0.0,0.0,200.0,400.0,0.0,0.2,0.4,2.0
1501.03359v2,2015,2015-01-12,12.0,12,1,0,1,1,1,2,3,2,5,83.33333333333333,0.0,83.33333333333333,166.66666666666666,416.6666666666667,1.0,0.16666666666666666,0.4166666666666667,2.5
1501.02454v1,2015,2015-01-11,17.0,17,1,1,2,3,3,1,5,6,6,58.8235294117647,58.8235294117647,117.6470588235294,352.94117647058823,352.94117647058823,0.5,0.35294117647058826,0.35294117647058826,1.0
1501.02409v1,2015,2015-01-11,14.0,14,0,1,1,1,1,2,3,2,5,0.0,71.42857142857143,71.42857142857143,142.85714285714286,357.14285714285717,0.0,0.14285714285714285,0.35714285714285715,2.5
1501.01455v1,2015,2015-01-07,10.0,10,0,0,0,2,3,1,3,5,4,0.0,0.0,0.0,500.0,400.0,0.0,0.5,0.4,0.8
1501.01282v1,2015,2015-01-06,10.0,10,0,0,0,2,2,2,3,4,5,0.0,0.0,0.0,400.0,500.0,0.0,0.4,0.5,1.25
1501.00440v1,2015,2015-01-02,12.0,12,1,0,1,3,3,2,2,6,4,83.33333333333333,0.0,83.33333333333333,500.0,333.3333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666
1502.00093v1,2015,2015-01-31,13.0,13,0,1,1,2,2,5,0,4,5,0.0,76.92307692307693,76.92307692307693,307.69230769230774,384.61538461538464,0.0,0.3076923076923077,0.38461538461538464,1.25
1501.07799v1,2015,2015-01-30,13.0,13,2,0,2,3,3,3,1,6,4,153.84615384615387,0.0,153.84615384615387,461.53846153846155,307.69230769230774,1.0,0.46153846153846156,0.3076923076923077,0.6666666666666666
1502.07762v1,2015,2015-01-30,14.0,14,0,1,1,0,0,4,6,0,10,0.0,71.42857142857143,71.42857142857143,0.0,714.2857142857143,0.0,0.0,0.7142857142857143,
1501.07448v1,2015,2015-01-29,12.0,12,0,0,0,2,2,2,3,4,5,0.0,0.0,0.0,333.3333333333333,416.6666666666667,0.0,0.3333333333333333,0.4166666666666667,1.25
1502.00549v1,2015,2015-01-29,14.0,16,1,1,2,3,3,4,1,6,5,71.42857142857143,71.42857142857143,142.85714285714286,428.57142857142856,357.14285714285717,0.5,0.375,0.3125,0.8333333333333334
1501.07074v1,2015,2015-01-28,10.0,11,1,0,1,3,3,1,0,6,1,100.0,0.0,100.0,600.0,100.0,1.0,0.5454545454545454,0.09090909090909091,0.16666666666666666
1501.06890v1,2015,2015-01-27,11.0,11,0,1,1,1,1,2,3,2,5,0.0,90.9090909090909,90.9090909090909,181.8181818181818,454.5454545454545,0.0,0.18181818181818182,0.45454545454545453,2.5
1501.06108v1,2015,2015-01-25,13.0,13,0,1,1,2,2,1,4,4,5,0.0,76.92307692307693,76.92307692307693,307.69230769230774,384.61538461538464,0.0,0.3076923076923077,0.38461538461538464,1.25
1501.06031v2,2015,2015-01-24,14.0,14,2,1,3,3,4,2,0,7,2,142.85714285714286,71.42857142857143,214.28571428571428,500.0,142.85714285714286,0.6666666666666666,0.5,0.14285714285714285,0.2857142857142857
1501.05973v2,2015,2015-01-23,6.0,6,0,0,0,1,1,1,0,2,1,0.0,0.0,0.0,333.3333333333333,166.66666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5
1501.05836v1,2015,2015-01-23,12.0,12,0,1,1,1,1,2,4,2,6,0.0,83.33333333333333,83.33333333333333,166.66666666666666,500.0,0.0,0.16666666666666666,0.5,3.0
1501.05575v1,2015,2015-01-22,12.0,12,0,1,1,1,1,0,3,2,3,0.0,83.33333333333333,83.33333333333333,166.66666666666666,250.0,0.0,0.16666666666666666,0.25,1.5
1501.05174v2,2015,2015-01-21,6.0,6,0,1,1,1,1,1,0,2,1,0.0,166.66666666666666,166.66666666666666,333.3333333333333,166.66666666666666,0.0,0.3333333333333333,0.16666666666666666,0.5
1501.04874v3,2015,2015-01-20,8.0,8,0,0,0,1,1,1,2,2,3,0.0,0.0,0.0,250.0,375.0,0.0,0.25,0.375,1.5
1501.04700v1,2015,2015-01-20,10.0,10,0,1,1,1,1,3,1,2,4,0.0,100.0,100.0,200.0,400.0,0.0,0.2,0.4,2.0
1501.04901v4,2015,2015-01-19,10.0,10,0,0,0,2,2,1,2,4,3,0.0,0.0,0.0,400.0,300.0,0.0,0.4,0.3,0.75
1501.04621v1,2015,2015-01-19,7.0,7,0,0,0,1,1,1,3,2,4,0.0,0.0,0.0,285.7142857142857,571.4285714285714,0.0,0.2857142857142857,0.5714285714285714,2.0
1501.04406v1,2015,2015-01-19,5.0,5,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,200.0,0.0,0.0,0.2,
1501.04391v1,2015,2015-01-19,8.0,8,0,1,1,1,1,1,0,2,1,0.0,125.0,125.0,250.0,125.0,0.0,0.25,0.125,0.5
1501.04383v1,2015,2015-01-19,13.0,13,2,1,3,2,2,1,0,4,1,153.84615384615387,76.92307692307693,230.76923076923077,307.69230769230774,76.92307692307693,0.6666666666666666,0.3076923076923077,0.07692307692307693,0.25
1501.04374v1,2015,2015-01-19,10.0,10,0,0,0,0,0,4,2,0,6,0.0,0.0,0.0,0.0,600.0,0.0,0.0,0.6,
1501.04032v1,2015,2015-01-16,16.0,16,2,1,3,3,3,4,1,6,5,125.0,62.5,187.5,375.0,312.5,0.6666666666666666,0.375,0.3125,0.8333333333333334
1501.03463v1,2015,2015-01-14,11.0,12,0,0,0,2,2,2,3,4,5,0.0,0.0,0.0,363.6363636363636,454.5454545454545,0.0,0.3333333333333333,0.4166666666666667,1.25
