feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
word_notably_per_1k_words,77.73772362432229,0.00026222499092863963,6.574863955289634,0.01143138563272917,1.641678532505217e-05,2026.0,0.02202689923800573
emphasis_marker_notably_per_1k_words,77.73772362432229,0.00026222499092863963,6.574863955289634,0.01143138563272917,1.641678532505217e-05,2026.0,0.02202689923800573
emphasis_markers_total_per_1k_words,54.1182626620271,0.0009438728179164772,3.800938667284303,0.06348748006992948,1.2734463797691935e-05,2026.0,0.07928531670498408
summary_marker_overall_per_1k_words,21.293290573352674,0.004716793369730223,1.6968220807874248,0.011430879133236767,0.11863955160361718,2026.0,0.3962106430573388
coordination_count,9.360611985667004,0.004885006330862273,2.7551943165393333,0.19804153849154804,2.3974255344472645e-08,2019.0,0.41034053179243096
marker_verbs_total_per_1k_words,67.77924708392436,0.005198523772615205,5.068788312899989,0.2605366284227892,0.00039472334336360776,2019.0,0.43667599689967723
verb_foster_per_1k_words,75.18653206788959,0.005729901539615351,4.026057065502387,0.00613879661392434,0.0004553406772094412,2026.0,0.48131172932768945
contrast_marker_conversely_per_1k_words,68.25099850512166,0.0058817338737681656,2.3684663344797774,0.0016653761500020048,0.00244104779758962,2026.0,0.4940656453965259
sequential_marker_subsequently_per_1k_words,64.90480375991714,0.006971021864296512,3.4385192156054307,0.014222651413221285,6.394490582490816e-06,2026.0,0.585565836600907
certainty_ratio,25.150195681219262,0.007259290467123621,3.5536788592086457,0.0001811108314529834,0.0013482946272927027,2026.0,0.6097803992383841
summary_markers_total_per_1k_words,20.479160036665792,0.008502382210401683,1.5356529632848603,0.01283958963585045,0.16638227858365878,2026.0,0.7142001056737414
emphasis_marker_particularly_per_1k_words,55.77774255337463,0.009088768532952004,3.4605116540160155,0.042907166905372766,0.0002204428387908109,2026.0,0.7634565567679683
word_particularly_per_1k_words,55.77774255337463,0.009088768532952004,3.4605116540160155,0.042907166905372766,0.0002204428387908109,2026.0,0.7634565567679683
adjective_comprehensive_per_1k_words,42.261995811339254,0.009099300799639975,2.324078992512868,0.0365707585364539,0.027952821837912364,2026.0,0.7643412671697579
verb_enhance_per_1k_words,70.26573128789698,0.009263772615918849,4.4683133688028045,0.17142495220742526,0.0004780678973108168,2019.0,0.7781568997371833
word_interplay_per_1k_words,61.51903695493787,0.011299294021758634,2.5794380912682917,0.0034482283943688213,0.001252697678457438,2026.0,0.9491406978277253
adjective_potential_per_1k_words,34.64069575161186,0.012935091667799773,3.4521780779339504,0.06097065195038416,0.0014349739294369872,2026.0,1.0
colon_per_1k_words,28.92272877298405,0.013722450898277587,2.806495208059682,0.2769188674377403,5.9583466811129216e-05,2019.0,1.0
verb_underscore_per_1k_words,99.15151907692739,0.014937845800283832,4.606771239907771,0.013583462397646741,0.002485512482704897,2026.0,1.0
contrast_marker_however_per_1k_words,12.168102295778654,0.01499798010654653,1.777367788448597,0.061221040120998986,0.004202288933432371,2026.0,1.0
sequential_markers_total_per_1k_words,23.241763466475856,0.01511718640101085,1.494931200712474,0.10380960216282901,0.0017299440425890002,2019.0,1.0
causal_marker_thus_per_1k_words,-28.433450876536916,0.01693164894453186,-2.3968111750800642,-0.025292802002675245,0.007440301943119193,2026.0,1.0
causal_marker_thereby_per_1k_words,59.874194728237384,0.018321718377859134,3.1300905750032917,0.02947282640838089,0.00024454831756902027,2026.0,1.0
marker_words_total_per_1k_words,42.04760743659263,0.01898757343105956,3.9609309811330453,0.49132040606512434,0.0001731807476366557,2019.0,1.0
word_within_per_1k_words,28.32335481181402,0.020850935363689215,2.2975454433084637,0.0313968567612268,0.06925537438041854,2026.0,1.0
contrast_markers_total_per_1k_words,13.143939513869862,0.021398629670137292,1.7842165440487314,0.0690387421700245,0.004132205124281923,2026.0,1.0
marker_adjectives_total_per_1k_words,41.39128191376878,0.022178664487766054,3.2439664578369145,0.16011077657648548,0.0029096532144667975,2019.0,1.0
clause_depth,-1.9925604265141388,0.02350688358000619,-1.8504661392857005,-0.07714570895538526,0.00040108806781695905,2026.0,1.0
