month_ts,paper_count,em_dash_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_mean,clause_depth_monthly_mean,dependency_entropy_monthly_mean,dependency_length_monthly_mean,coordination_count_monthly_mean,sentence_depth_std_monthly_mean,list_of_three_monthly_mean,marker_words_total_per_1k_words_monthly_mean,marker_verbs_total_per_1k_words_monthly_mean,marker_adjectives_total_per_1k_words_monthly_mean,marker_phrases_total_per_1k_words_monthly_mean,sequential_markers_total_per_1k_words_monthly_mean,causal_markers_total_per_1k_words_monthly_mean,contrast_markers_total_per_1k_words_monthly_mean,emphasis_markers_total_per_1k_words_monthly_mean,summary_markers_total_per_1k_words_monthly_mean
2015-01-01,15,0.0,0.22371364653243847,2.109787455180482,11.533333333333333,2.714386058674313,3.1712956596367237,3.8666666666666667,2.2769329914948626,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-02-01,15,0.0,1.0638297872340425,4.884663310404096,10.8,2.6571637248680964,3.3669138106045513,3.6,1.9957413270412239,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-03-01,15,0.0,0.0,3.910920445768362,14.066666666666666,2.7325717544497867,3.4023103060489466,5.066666666666666,3.4008312080244196,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-04-01,15,0.0,0.29239766081871343,1.7199011912139364,12.066666666666666,2.8018573414705643,3.430058418320185,4.6,2.490419269402053,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-05-01,15,0.0,0.796812749003984,3.2149221330974598,12.8,2.7178382056316237,3.2874850206895947,5.4,2.8368556714639728,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-06-01,15,0.0,0.3436426116838488,6.246269584876231,11.0,2.7101090983553795,3.269676349292742,4.8,2.0012224850051497,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-07-01,15,0.47961630695443647,1.6754361905376534,1.888011228546462,12.133333333333333,2.778413565511231,3.2884618035452706,5.733333333333333,2.4119507179495168,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-08-01,15,0.2424242424242424,2.093793708158986,1.1414153550402497,11.466666666666667,2.786517800274386,3.1897400762332637,5.866666666666666,2.256017075795933,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-09-01,15,0.6498718779907999,0.4694835680751174,3.2023850544085906,12.466666666666667,2.75819121380935,3.294510071629424,5.6,2.685365341825882,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-10-01,15,0.0,1.297492024240204,0.5312084993359893,11.6,2.7382846092233666,3.228243279744669,3.6666666666666665,2.3690241700886503,0.26666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-11-01,15,0.7984031936127745,0.0,1.6194911546170923,10.8,2.76517343660207,3.1869167212867353,4.533333333333333,2.137075951150751,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-12-01,15,0.0,0.7285974499089253,2.0662949598254374,12.4,2.650039062376048,3.1764609790853005,5.2,2.5727282423222655,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-01,15,0.0,2.189728142642941,4.429776427862847,12.266666666666667,2.7609745490360806,3.4673842962690204,5.6,2.6546281759528787,0.8666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-02-01,15,0.9115911127591854,1.1885177102568405,2.5386198023527853,10.933333333333334,2.740186684920086,3.272936598554612,5.066666666666666,2.2668618246391845,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-03-01,15,1.8328259766615929,0.41407867494824013,2.2906710011380143,11.533333333333333,2.7875817465711346,3.162100355972542,4.066666666666666,2.5261525616075318,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-04-01,15,1.4184397163120568,0.3968253968253968,3.507051490922459,12.533333333333333,2.7184437133235386,3.4046305761767788,4.733333333333333,2.5080707643736875,1.0666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-05-01,15,0.4938271604938272,0.6928746928746929,1.9327714523422999,11.333333333333334,2.7510299160915754,3.347816256367689,3.8,1.8258752547314434,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-06-01,15,1.1494252873563218,1.8174689208201678,1.6764792079997912,11.6,2.7569893093709683,3.3895449600745264,3.933333333333333,2.477329391158249,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-07-01,15,0.0,0.45977011494252873,3.424720317399712,12.4,2.7325511474585804,3.2348887721687123,5.2,2.7409064490353146,0.5333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-08-01,15,2.0779220779220777,0.0,2.7607041753365924,11.266666666666667,2.7581925173453614,3.2852403955508733,6.266666666666667,2.0151366636607895,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-01,15,0.33500837520938026,0.2801120448179272,1.996240972449872,11.0,2.7372538979815384,3.4712865593028264,5.933333333333334,2.3072560297849853,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,15,1.2903225806451613,0.0,1.983306215125525,11.2,2.719313981490019,3.4561901963454162,4.8,1.6932845508179208,0.4666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
