month_ts,topic_id,count,total,pct,topic_label
2020-09-01,3,1,15,6.666666666666667,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2020-10-01,0,6,15,40.0,"cancer, lung, ai, breast, tumor, prs, sequencing"
2020-10-01,1,7,15,46.666666666666664,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2020-10-01,2,2,15,13.333333333333334,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2020-11-01,0,1,15,6.666666666666667,"cancer, lung, ai, breast, tumor, prs, sequencing"
2020-11-01,1,13,15,86.66666666666667,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2020-11-01,2,1,15,6.666666666666667,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2020-12-01,0,1,15,6.666666666666667,"cancer, lung, ai, breast, tumor, prs, sequencing"
2020-12-01,1,9,15,60.0,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2020-12-01,2,2,15,13.333333333333334,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2020-12-01,3,3,15,20.0,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021-01-01,0,4,15,26.666666666666668,"cancer, lung, ai, breast, tumor, prs, sequencing"
2021-01-01,1,10,15,66.66666666666666,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021-01-01,3,1,15,6.666666666666667,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021-02-01,0,4,15,26.666666666666668,"cancer, lung, ai, breast, tumor, prs, sequencing"
2021-02-01,1,9,15,60.0,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021-02-01,2,1,15,6.666666666666667,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2021-02-01,3,1,15,6.666666666666667,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021-03-01,0,2,15,13.333333333333334,"cancer, lung, ai, breast, tumor, prs, sequencing"
2021-03-01,1,10,15,66.66666666666666,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021-03-01,2,2,15,13.333333333333334,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2021-03-01,3,1,15,6.666666666666667,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021-04-01,1,11,15,73.33333333333333,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021-04-01,2,1,15,6.666666666666667,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
2021-04-01,3,3,15,20.0,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021-05-01,0,3,15,20.0,"cancer, lung, ai, breast, tumor, prs, sequencing"
2021-05-01,1,8,15,53.333333333333336,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021-05-01,3,4,15,26.666666666666668,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
2021-06-01,0,6,15,40.0,"cancer, lung, ai, breast, tumor, prs, sequencing"
2021-06-01,1,5,15,33.33333333333333,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2021-06-01,2,1,15,6.666666666666667,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
