topic_id,topic_label
0,"cancer, lung, ai, breast, tumor, prs, sequencing"
1,"covid, covid 19, sars, cov, sars cov, vaccination, vaccine"
2,"motor, mri, tdcs, white matter, cortical, parkinsons disease, speech"
3,"opioid, hiv, menstrual, middle dot, dot, xylazine, pandemic"
