month_ts,paper_count,word_count_monthly_mean,word_count_monthly_median,sentence_count_monthly_mean,sentence_count_monthly_median,em_dash_count_monthly_mean,em_dash_count_monthly_median,em_dash_per_1k_words_monthly_mean,em_dash_per_1k_words_monthly_median,semicolon_count_monthly_mean,semicolon_count_monthly_median,semicolon_per_1k_words_monthly_mean,semicolon_per_1k_words_monthly_median,colon_count_monthly_mean,colon_count_monthly_median,colon_per_1k_words_monthly_mean,colon_per_1k_words_monthly_median,marker_list_of_three_monthly_mean,marker_list_of_three_monthly_median,coordination_count_monthly_mean,coordination_count_monthly_median,coordination_density_monthly_mean,coordination_density_monthly_median,clause_depth_monthly_mean,clause_depth_monthly_median,dependency_entropy_monthly_mean,dependency_entropy_monthly_median,marker_word_delve_monthly_mean,marker_word_delve_monthly_median,marker_word_highlight_monthly_mean,marker_word_highlight_monthly_median,marker_word_underscore_monthly_mean,marker_word_underscore_monthly_median,marker_word_enhance_monthly_mean,marker_word_enhance_monthly_median,marker_word_exhibit_monthly_mean,marker_word_exhibit_monthly_median,marker_word_showcase_monthly_mean,marker_word_showcase_monthly_median,marker_word_insight_monthly_mean,marker_word_insight_monthly_median,marker_word_comprehensive_monthly_mean,marker_word_comprehensive_monthly_median,marker_word_crucial_monthly_mean,marker_word_crucial_monthly_median,marker_word_pivotal_monthly_mean,marker_word_pivotal_monthly_median,marker_word_intricate_monthly_mean,marker_word_intricate_monthly_median,marker_word_meticulously_monthly_mean,marker_word_meticulously_monthly_median,marker_word_notably_monthly_mean,marker_word_notably_monthly_median,marker_word_particularly_monthly_mean,marker_word_particularly_monthly_median,marker_word_while_monthly_mean,marker_word_while_monthly_median,marker_word_within_monthly_mean,marker_word_within_monthly_median,marker_word_across_monthly_mean,marker_word_across_monthly_median,marker_word_additionally_monthly_mean,marker_word_additionally_monthly_median,marker_density_monthly_mean,marker_density_monthly_median,hedge_count_monthly_mean,hedge_count_monthly_median,certainty_count_monthly_mean,certainty_count_monthly_median,hedge_ratio_monthly_mean,hedge_ratio_monthly_median,certainty_ratio_monthly_mean,certainty_ratio_monthly_median,avg_words_per_sentence_monthly_mean,avg_words_per_sentence_monthly_median,avg_syllables_per_word_monthly_mean,avg_syllables_per_word_monthly_median,flesch_reading_ease_monthly_mean,flesch_reading_ease_monthly_median,flesch_kincaid_grade_monthly_mean,flesch_kincaid_grade_monthly_median,dale_chall_monthly_mean,dale_chall_monthly_median
2019-06-01,30,274.8333333333333,249.5,12.333333333333334,11.5,0.0,0.0,0.0,0.0,1.0333333333333334,0.0,3.6592669296083447,0.0,1.0333333333333334,0.5,3.9289971847261316,1.1820330969267139,2.466666666666667,2.0,12.133333333333333,10.5,0.8842116960391627,0.8090909090909091,11.833333333333334,11.0,2.811247984478554,2.8103900937836364,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.03333333333333333,0.0,0.2,0.0,0.03333333333333333,0.0,0.16666666666666666,0.0,0.03333333333333333,0.0,0.01031596123798869,0.009175372585289976,1.2,1.0,0.4,0.0,0.003984980308273741,0.0031780075997962943,0.0015127506166274383,0.0,22.149317762703983,22.241626794258373,2.034993394331312,2.0269175334034513,22.263415036801963,21.298281480906,14.849229934259188,14.974190292276655,13.549806563160969,13.756701623724483
2019-07-01,117,274.7008547008547,260.0,12.11111111111111,12.0,0.03418803418803419,0.0,0.08945063890118835,0.0,1.1025641025641026,0.0,4.323548258320359,0.0,1.0341880341880343,1.0,4.076203529528426,1.9880715705765406,2.1367521367521367,2.0,11.23076923076923,11.0,0.8662467287592317,0.8571428571428571,12.247863247863247,12.0,2.8028439947220516,2.8059092471083864,0.0,0.0,0.05128205128205128,0.0,0.0,0.0,0.02564102564102564,0.0,0.02564102564102564,0.0,0.0,0.0,0.10256410256410256,0.0,0.02564102564102564,0.0,0.017094017094017096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.19658119658119658,0.0,0.1794871794871795,0.0,0.23931623931623933,0.0,0.02564102564102564,0.0,0.011133642841570056,0.009259259259259259,1.4273504273504274,1.0,0.358974358974359,0.0,0.005166927854050459,0.003875968992248062,0.0011512463245013402,0.0,23.35643649139561,23.285714285714285,2.036599141393203,2.0187617260787993,19.093736641234244,19.04017557549747,15.496530562578837,15.368686131386863,13.630399444489518,13.58315723905724
2019-08-01,112,281.33035714285717,268.5,12.580357142857142,12.0,0.05357142857142857,0.0,0.20161060217205629,0.0,1.3125,0.0,4.575431508773525,0.0,1.1964285714285714,1.0,4.08748869569277,3.4248182031433263,2.580357142857143,2.0,12.75,12.0,0.9551968768071986,0.9372549019607843,11.973214285714286,12.0,2.8022341893997873,2.814504657130291,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.05357142857142857,0.0,0.017857142857142856,0.0,0.0,0.0,0.07142857142857142,0.0,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0,0.044642857142857144,0.0,0.3125,0.0,0.17857142857142858,0.0,0.25892857142857145,0.0,0.008928571428571428,0.0,0.013040263130094631,0.011975582951070336,1.2767857142857142,1.0,0.3392857142857143,0.0,0.00449942993936934,0.0038022813688212928,0.0012089594781352828,0.0,23.46523090597166,23.174825174825173,2.0200419313770457,2.0309361349360713,21.360759108858026,22.272103855896447,15.183519839792192,15.404783532869745,13.573255110191607,13.513285373326884
2019-09-01,118,275.77966101694915,259.0,12.372881355932204,12.0,0.059322033898305086,0.0,0.1655139901415931,0.0,0.6440677966101694,0.0,2.1988400785956643,0.0,1.1440677966101696,1.0,4.222453946441948,3.663052812365822,2.3813559322033897,2.0,12.025423728813559,11.0,0.9193242291667096,0.8944444444444444,11.864406779661017,11.0,2.8056244062326092,2.8018942244818854,0.0,0.0,0.0847457627118644,0.0,0.00847457627118644,0.0,0.05084745762711865,0.0,0.00847457627118644,0.0,0.0,0.0,0.03389830508474576,0.0,0.06779661016949153,0.0,0.0423728813559322,0.0,0.09322033898305085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1016949152542373,0.0,0.2457627118644068,0.0,0.17796610169491525,0.0,0.2457627118644068,0.0,0.059322033898305086,0.0,0.01289891286084445,0.01174172794117647,1.3559322033898304,1.0,0.3983050847457627,0.0,0.004634717815580798,0.0037735849056603774,0.0013288708908568586,0.0,23.18464944437447,22.550505050505052,2.033182485578831,2.031915544675643,18.270726338762373,18.230282472257628,15.640701668055016,15.698411457564122,13.714882771742325,13.837396898705936
2019-10-01,177,279.2994350282486,263.0,11.971751412429379,12.0,0.022598870056497175,0.0,0.0873316265110747,0.0,1.0508474576271187,0.0,3.8468920278924963,0.0,1.3898305084745763,1.0,4.865253420048128,3.215434083601286,2.4350282485875705,2.0,11.531073446327683,11.0,0.901456591758182,0.8461538461538461,12.090395480225988,12.0,2.80655713477774,2.8078031927696254,0.0,0.0,0.07344632768361582,0.0,0.01694915254237288,0.0,0.03389830508474576,0.0,0.03389830508474576,0.0,0.005649717514124294,0.0,0.022598870056497175,0.0,0.096045197740113,0.0,0.02824858757062147,0.0,0.0,0.0,0.005649717514124294,0.0,0.0,0.0,0.005649717514124294,0.0,0.06779661016949153,0.0,0.24293785310734464,0.0,0.24858757062146894,0.0,0.2994350282485876,0.0,0.05649717514124294,0.0,0.013089403359854508,0.012165450121654502,1.2429378531073447,1.0,0.2598870056497175,0.0,0.004417655320224809,0.0036363636363636364,0.0009421019235682275,0.0,24.12559819689592,23.363636363636363,2.0241898283905977,2.015625,18.341049940403085,18.614209337349422,15.736938140213653,15.828091445666239,13.648009088063686,13.591119047619049
2019-11-01,190,280.17894736842106,262.0,12.289473684210526,12.0,0.06842105263157895,0.0,0.24987057407102534,0.0,1.1578947368421053,0.0,4.360773256490526,0.0,1.1263157894736842,1.0,4.44432402829874,2.67741935483871,2.1842105263157894,2.0,11.7,10.0,0.8781485325754723,0.8257575757575758,11.805263157894737,11.0,2.8006454196712065,2.802437676426619,0.0,0.0,0.03684210526315789,0.0,0.0,0.0,0.02631578947368421,0.0,0.015789473684210527,0.0,0.0,0.0,0.03684210526315789,0.0,0.07894736842105263,0.0,0.031578947368421054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06315789473684211,0.0,0.24210526315789474,0.0,0.3,0.0,0.38421052631578945,0.0,0.03684210526315789,0.0,0.011906139248042754,0.01121499245346302,1.3157894736842106,1.0,0.24210526315789474,0.0,0.004772887636309864,0.00390625,0.0008487643722049724,0.0,23.428989772678523,22.916666666666664,2.0303986382211625,2.025744680851064,18.054032448291522,18.021169269919298,15.779796503461236,15.673119486768247,13.726385461584105,13.67743670047537
2019-12-01,168,266.79761904761904,256.5,11.505952380952381,11.0,0.09523809523809523,0.0,0.3049440787461209,0.0,0.8035714285714286,0.0,2.884306496369212,0.0,0.9642857142857143,1.0,3.5931810685635703,2.842377260981912,2.4226190476190474,2.0,11.630952380952381,11.0,0.9539429602578583,0.8461538461538461,11.732142857142858,12.0,2.809513698838629,2.8207298579435776,0.0,0.0,0.041666666666666664,0.0,0.011904761904761904,0.0,0.02976190476190476,0.0,0.02976190476190476,0.0,0.0,0.0,0.10119047619047619,0.0,0.041666666666666664,0.0,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05952380952380952,0.0,0.13095238095238096,0.0,0.16071428571428573,0.0,0.2916666666666667,0.0,0.03571428571428571,0.0,0.0125210580258557,0.00966183574879227,1.1488095238095237,1.0,0.34523809523809523,0.0,0.004444415576048282,0.0035926212590299276,0.0013485018787746778,0.0,24.1653083500351,23.454545454545453,2.011436987381676,1.9965619373947385,18.91363188857489,18.663567269456777,15.797754930182723,15.745503449767655,13.683846795070158,13.682897742951955
2020-01-01,225,259.7911111111111,255.0,11.702222222222222,12.0,0.008888888888888889,0.0,0.02669336002669336,0.0,0.7777777777777778,0.0,2.845435581014206,0.0,0.7866666666666666,0.0,3.3334889857557846,0.0,2.0,1.0,10.862222222222222,10.0,0.8631762830373769,0.8333333333333334,11.768888888888888,11.0,2.78496140499263,2.789113585065575,0.0,0.0,0.10222222222222223,0.0,0.0,0.0,0.05333333333333334,0.0,0.02666666666666667,0.0,0.0,0.0,0.044444444444444446,0.0,0.06666666666666667,0.0,0.03111111111111111,0.0,0.008888888888888889,0.0,0.0,0.0,0.0,0.0,0.008888888888888889,0.0,0.04,0.0,0.1511111111111111,0.0,0.28444444444444444,0.0,0.19555555555555557,0.0,0.04,0.0,0.01154264020753494,0.010526315789473684,1.1155555555555556,1.0,0.29333333333333333,0.0,0.004342479434957512,0.0035087719298245615,0.0013415270164285455,0.0,23.20281130798345,22.416666666666668,2.0338603648585405,2.029535864978903,17.523067400238002,16.600714285714304,15.920706978509372,15.994636394101878,13.748704283576624,13.732061538461538
2020-02-01,453,250.2626931567329,243.0,11.342163355408388,11.0,0.017660044150110375,0.0,0.0715581404218699,0.0,0.6247240618101545,0.0,2.220949607608498,0.0,0.9094922737306843,0.0,3.7755675999287828,0.0,1.9713024282560707,1.0,10.130242825607064,9.0,0.819197558188891,0.7857142857142857,11.600441501103752,11.0,2.798581138540336,2.806221081197481,0.0,0.0,0.0706401766004415,0.0,0.004415011037527594,0.0,0.05077262693156733,0.0,0.039735099337748346,0.0,0.004415011037527594,0.0,0.039735099337748346,0.0,0.026490066225165563,0.0,0.039735099337748346,0.0,0.006622516556291391,0.0,0.0,0.0,0.002207505518763797,0.0,0.019867549668874173,0.0,0.02869757174392936,0.0,0.16997792494481237,0.0,0.15673289183222958,0.0,0.16556291390728478,0.0,0.037527593818984545,0.0,0.011312481197238093,0.009523809523809525,1.293598233995585,1.0,0.5982339955849889,0.0,0.005156362866594523,0.00390625,0.0026223720998700554,0.0,23.280031771875926,22.428571428571427,2.000636564143137,2.0,23.53650424445896,24.53829431438129,15.007585888833814,14.786292330677291,13.359037148124683,13.358821739130436
2020-03-01,840,257.75714285714287,245.0,11.611904761904762,11.0,0.025,0.0,0.11516052246116562,0.0,0.6190476190476191,0.0,2.0213706892610634,0.0,0.925,0.0,3.524694062274696,0.0,2.073809523809524,1.0,10.708333333333334,9.0,0.8553631151008111,0.8,11.654761904761905,11.0,2.800845546832634,2.8102933991806305,0.0,0.0,0.05714285714285714,0.0,0.007142857142857143,0.0,0.023809523809523808,0.0,0.030952380952380953,0.0,0.002380952380952381,0.0,0.04642857142857143,0.0,0.04047619047619048,0.0,0.02857142857142857,0.0,0.0,0.0,0.0011904761904761906,0.0,0.0,0.0,0.016666666666666666,0.0,0.05357142857142857,0.0,0.19523809523809524,0.0,0.16904761904761906,0.0,0.18214285714285713,0.0,0.02976190476190476,0.0,0.010974550658458265,0.009900990099009901,1.1976190476190476,1.0,0.5476190476190477,0.0,0.004756532840328785,0.003696870302036354,0.002232881332893255,0.0,22.72144884456986,22.174242424242426,2.007665544174356,2.0057445200302344,25.202151558198377,25.168803272450546,14.666491092954201,14.642936087432854,13.43472388108672,13.431857078219341
