feature,human_mean,human_std,ai_mean,ai_std,diff_ai_minus_human,ratio_ai_over_human,cohens_d
coordination_count_per_1k_words,40.32694323271843,35.546241335142454,53.123927372104234,23.741210824231445,12.796984139385806,1.3173308739404588,0.4233815414481442
flesch_reading_ease,38.542632667514354,23.676107398269906,46.25614721845364,17.117373667969122,7.713514550939287,1.2001294155871356,0.37337877514447204
coordination_count,1.3235046335299074,1.455863941140593,6.352148272957034,4.303690915839084,5.028643639427127,4.799490770210057,1.5652992750621713
semicolon_per_1k_words,3.289528342024377,14.518864727830568,0.19377140123535916,2.3686206760771866,-3.095756940789018,0.058905527202757636,-0.29760854817376153
clause_depth,8.187868576242629,2.5859761412833238,10.946082561078349,3.455639046176731,2.75821398483572,1.3368659327091263,0.903756676053594
sentence_depth_std,0.06261233747329975,0.4477305048326739,2.3296428767430397,1.5781575562211845,2.26703053926974,37.20740944604547,1.9543933620634293
clause_depth_per_sentence,4.0373709008081375,1.2853365282475426,2.1576348129187712,0.9448772678531415,-1.8797360878893663,0.5344158032364303,-1.6663950358246058
flesch_kincaid_grade,13.760792955471619,5.038898437119033,12.037123240169432,3.270174497389588,-1.7236697153021865,0.8747405239741788,-0.40579666186109015
avg_words_per_sentence,27.660067396798652,15.24137744283081,26.01764479553022,13.172608783043598,-1.6424226012684322,0.9406211641603403,-0.11530142665094795
colon_per_1k_words,2.0734648156494724,12.081083590803493,3.341528604810905,10.563109544537355,1.2680637891614328,1.6115675460662382,0.11174821976984997
list_of_three,0.36141533277169335,0.7515878762892226,1.4102780117944398,1.7982553396716952,1.0488626790227464,3.902097902097902,0.7610645109764702
dale_chall,11.70876622130999,1.8991592914272515,10.69269151621422,1.3275443943337208,-1.01607470509577,0.9132210272294522,-0.6201355812804482
list_of_three_per_1k_words,10.296435860747042,20.92408743983541,11.286229438747405,12.798900424691688,0.9897935780003628,1.0961297279356383,0.057068327483960346
coordination_density,0.6423788573746452,0.6780109857429822,1.1559838026090072,0.7916776167240999,0.5136049452343621,1.799535880326802,0.6968492766486436
colon_count,0.06402695871946082,0.34496370649742164,0.510530749789385,1.624698276730531,0.4465037910699241,7.973684210526316,0.380182641376577
em_dash_per_1k_words,0.4032169309952449,5.103978582565951,0.010096337635911085,0.24703973846089253,-0.3931205933593338,0.02503946848410031,-0.10879873205628542
dependency_entropy,2.374603754506763,0.2611816934387113,2.7090529109975745,0.2225399975362279,0.33444915649081164,1.140844195944717,1.3784252527402088
hedge_count,0.05223251895534962,0.26095166316757346,0.36310025273799496,0.9147949166448888,0.3108677337826453,6.951612903225807,0.46214624665747556
dependency_length_norm,3.3843150096613788,0.8005161701159422,3.1030915880148373,0.44693850450903894,-0.28122342164654146,0.9169038872434396,-0.4337873836906714
sentence_depth_cv,0.007628091520153386,0.05230720757384664,0.278207633426517,0.13946161441707378,0.27057954190636363,36.47145982602511,2.5690615196063376
emphasis_markers_total_per_1k_words,0.057094251446106685,1.1355964509605274,0.27085298795319274,1.6400215047113493,0.21375873650708604,4.743962502229504,0.15154383315136882
marker_adjectives_total_per_1k_words,0.1259140700197134,2.090194075543393,0.29277022181257484,1.8334050949651748,0.16685615179286145,2.3251589100943053,0.08487102625691721
marker_words_total,0.041280539174389216,0.2073222304404063,0.18534119629317608,0.4869502234115144,0.14406065711878685,4.4897959183673475,0.38494748621852914
dependency_length,3.3902331231221248,0.8034207752831143,3.2526750259309054,0.5712348768838084,-0.13755809719121936,0.9594251804535082,-0.1973394894155624
causal_markers_total_per_1k_words,0.11454543949467307,1.669805103864414,0.0,0.0,-0.11454543949467307,0.0,-0.09701234812760934
contrast_markers_total_per_1k_words,0.10590925502467205,2.1263218084680116,0.0,0.0,-0.10590925502467205,0.0,-0.07044009248281918
marker_density,1.3914160527299515,7.712738600968691,1.4860806419228834,4.322727059258993,0.09466458919293186,1.0680347111183606,0.015141750676707005
marker_words_total_per_1k_words,1.3914160527299515,7.712738600968691,1.4860806419228834,4.322727059258993,0.09466458919293186,1.0680347111183606,0.015141750676707005
avg_syllables_per_word,1.784800430137454,0.27514016369168304,1.6968665034238821,0.27174605840300153,-0.08793392671357192,0.9507317875832203,-0.3215741399875721
summary_markers_total_per_1k_words,0.19729478764862082,2.8705374833076887,0.2821872143965875,1.6434889076091808,0.08489242674796668,1.430282156765129,0.03629565339935768
word_while,0.014321819713563605,0.11886382115890846,0.08593091828138164,0.31972143009628773,0.07160909856781802,6.0,0.29689252457295373
semicolon_count,0.09856781802864364,0.42820812311742873,0.02948609941027801,0.36726047765735215,-0.06908171861836564,0.29914529914529914,-0.17318053347456597
marker_adjectives_total,0.004212299915754001,0.06479269380628941,0.041280539174389216,0.2739032300104626,0.03706823925863521,9.8,0.18625013505306445
dependency_entropy_normalized,0.9242440125826562,0.03653853627223491,0.8873579137337255,0.034019219924789984,-0.03688609884893068,0.9600905190114695,-1.044891738724652
emphasis_marker_particularly,0.0016849199663016006,0.04103046784761,0.03454085930918281,0.21255655882239388,0.03285593934288121,20.5,0.21463976384211164
emphasis_markers_total,0.002527379949452401,0.05023064727762198,0.03538331929233361,0.21439333717899686,0.03285593934288121,14.0,0.21101505816391383
word_particularly,0.0016849199663016006,0.04103046784761,0.03454085930918281,0.21255655882239388,0.03285593934288121,20.5,0.21463976384211164
summary_markers_total,0.005054759898904802,0.07094680952155043,0.03538331929233361,0.20225103486587828,0.03032855939342881,7.0,0.20011347688884099
adjective_potential,0.0008424599831508003,0.0290251612080071,0.02864363942712721,0.21927774332553845,0.02780117944397641,34.0,0.1777509637304426
