year,dependency_bigram,head_dep,child_dep,count,proportion,per_1k_words,paper_count,word_count,dependency_edge_count
2024,ROOT->xcomp,ROOT,xcomp,13604,0.00377270584320142,3.9064283488850573,12862,3482465.0,3605900
2025,ROOT->xcomp,ROOT,xcomp,13591,0.0032564626683250484,3.3774540343441175,15004,4024037.0,4173547
2026,ROOT->xcomp,ROOT,xcomp,4070,0.002907574839690468,3.0269990465324867,4849,1344566.0,1399792
2019,acl->acl,acl,acl,1,4.069209108517669e-06,0.0042039592888582465,912,237871.0,245748
2020,acl->acl,acl,acl,7,1.9606788654503734e-06,0.0020512531984898086,14066,3412548.0,3570192
2021,acl->acl,acl,acl,10,2.9616931644417935e-06,0.0031084050027913477,12748,3217084.0,3376447
2022,acl->acl,acl,acl,5,1.7161242226815333e-06,0.0017931899666000436,10523,2788327.0,2913542
2023,acl->acl,acl,acl,3,9.795544137579071e-07,0.0010178959683176485,11046,2947256.0,3062617
2024,acl->acl,acl,acl,7,1.9412629301977313e-06,0.0020100704529693765,12862,3482465.0,3605900
2025,acl->acl,acl,acl,10,2.396043461353137e-06,0.0024850666134531066,15004,4024037.0,4173547
2026,acl->acl,acl,acl,3,2.143175557511402e-06,0.0022312032284023246,4849,1344566.0,1399792
2019,acl->acomp,acl,acomp,15,6.103813662776503e-05,0.0630593893328737,912,237871.0,245748
2020,acl->acomp,acl,acomp,317,8.879074290682405e-05,0.09289246627446705,14066,3412548.0,3570192
2021,acl->acomp,acl,acomp,244,7.226531321237977e-05,0.07584508206810889,12748,3217084.0,3376447
2022,acl->acomp,acl,acomp,187,6.418304592828935e-05,0.06706530475084163,10523,2788327.0,2913542
2023,acl->acomp,acl,acomp,193,6.301800061842535e-05,0.0654846406284354,11046,2947256.0,3062617
2024,acl->acomp,acl,acomp,178,4.936354308217088e-05,0.05111322008979272,12862,3482465.0,3605900
2025,acl->acomp,acl,acomp,196,4.696245184252148e-05,0.0487073056236809,15004,4024037.0,4173547
2026,acl->acomp,acl,acomp,72,5.143621338027364e-05,0.05354887748165579,4849,1344566.0,1399792
2019,acl->advcl,acl,advcl,76,0.0003092598922473428,0.3195009059532267,912,237871.0,245748
2020,acl->advcl,acl,advcl,1029,0.0002882197932212049,0.30153422017800185,14066,3412548.0,3570192
2021,acl->advcl,acl,advcl,978,0.0002896535914824074,0.3040020092729938,12748,3217084.0,3376447
2022,acl->advcl,acl,advcl,842,0.00028899531909957023,0.3019731903754474,10523,2788327.0,2913542
2023,acl->advcl,acl,advcl,872,0.00028472381626563166,0.2958684281243299,11046,2947256.0,3062617
2024,acl->advcl,acl,advcl,1116,0.00030949277572866693,0.3204626607876892,12862,3482465.0,3605900
2025,acl->advcl,acl,advcl,1293,0.0003098084195529606,0.32131911311948674,15004,4024037.0,4173547
2026,acl->advcl,acl,advcl,423,0.00030218775360910767,0.31459965520472777,4849,1344566.0,1399792
2019,acl->advmod,acl,advmod,164,0.0006673502937968977,0.6894493233727524,912,237871.0,245748
2020,acl->advmod,acl,advmod,2654,0.0007433773869864702,0.7777179983988504,14066,3412548.0,3570192
2021,acl->advmod,acl,advmod,2496,0.0007392386138446716,0.7758578886967205,12748,3217084.0,3376447
2022,acl->advmod,acl,advmod,2000,0.0006864496890726133,0.7172759866400175,10523,2788327.0,2913542
2023,acl->advmod,acl,advmod,2111,0.0006892797891476473,0.7162594630395187,11046,2947256.0,3062617
2024,acl->advmod,acl,advmod,2690,0.0007459996117474139,0.7724413597839461,12862,3482465.0,3605900
2025,acl->advmod,acl,advmod,2919,0.0006994050863689806,0.725390944466962,15004,4024037.0,4173547
2026,acl->advmod,acl,advmod,978,0.000698675231748717,0.7273722524591578,4849,1344566.0,1399792
2019,acl->agent,acl,agent,249,0.0010132330680208996,1.0467858629257034,912,237871.0,245748
2020,acl->agent,acl,agent,4097,0.0011475573302500257,1.2005691934589637,14066,3412548.0,3570192
2021,acl->agent,acl,agent,3695,0.0010943456242612426,1.148555648531403,12748,3217084.0,3376447
2022,acl->agent,acl,agent,3197,0.0010972898279825725,1.1465656646440678,10523,2788327.0,2913542
2023,acl->agent,acl,agent,3314,0.001082081109064568,1.1244357463348957,11046,2947256.0,3062617
2024,acl->agent,acl,agent,3883,0.001076846279708256,1.1150147955542986,12862,3482465.0,3605900
2025,acl->agent,acl,agent,4593,0.0011005027617994958,1.1413910955590119,15004,4024037.0,4173547
2026,acl->agent,acl,agent,1595,0.0011394550047435618,1.1862563831005692,4849,1344566.0,1399792
2019,acl->amod,acl,amod,3,1.2207627325553006e-05,0.01261187786657474,912,237871.0,245748
2020,acl->amod,acl,amod,50,1.400484903893124e-05,0.014651808560641492,14066,3412548.0,3570192
2021,acl->amod,acl,amod,43,1.2735280607099711e-05,0.013366141512002794,12748,3217084.0,3376447
2022,acl->amod,acl,amod,32,1.0983195025161813e-05,0.01147641578624028,10523,2788327.0,2913542
2023,acl->amod,acl,amod,42,1.3713761792610698e-05,0.01425054355644708,11046,2947256.0,3062617
2024,acl->amod,acl,amod,36,9.98363792673119e-06,0.01033750518669965,12862,3482465.0,3605900
2025,acl->amod,acl,amod,50,1.1980217306765685e-05,0.012425333067265534,15004,4024037.0,4173547
2026,acl->amod,acl,amod,15,1.0715877787557008e-05,0.011156016142011622,4849,1344566.0,1399792
2019,acl->appos,acl,appos,2,8.138418217035338e-06,0.008407918577716493,912,237871.0,245748
2020,acl->appos,acl,appos,8,2.2407758462289984e-06,0.0023442893697026386,14066,3412548.0,3570192
2021,acl->appos,acl,appos,9,2.665523847997614e-06,0.002797564502512213,12748,3217084.0,3376447
2022,acl->appos,acl,appos,10,3.4322484453630665e-06,0.0035863799332000873,10523,2788327.0,2913542
2023,acl->appos,acl,appos,14,4.5712539308702325e-06,0.00475018118548236,11046,2947256.0,3062617
2024,acl->appos,acl,appos,23,6.37843534207826e-06,0.006604517202613665,12862,3482465.0,3605900
2025,acl->appos,acl,appos,20,4.792086922706274e-06,0.004970133226906213,15004,4024037.0,4173547
2026,acl->appos,acl,appos,4,2.8575674100152022e-06,0.002974937637869766,4849,1344566.0,1399792
2019,acl->attr,acl,attr,9,3.662288197665902e-05,0.03783563359972422,912,237871.0,245748
2020,acl->attr,acl,attr,165,4.621600182847309e-05,0.04835096825011692,14066,3412548.0,3570192
2021,acl->attr,acl,attr,144,4.264838156796183e-05,0.04476103204019541,12748,3217084.0,3376447
2022,acl->attr,acl,attr,109,3.741150805445743e-05,0.03909154127188095,10523,2788327.0,2913542
2023,acl->attr,acl,attr,134,4.375343048118652e-05,0.045466019918188307,11046,2947256.0,3062617
2024,acl->attr,acl,attr,110,3.050556033167864e-05,0.03158682140380449,12862,3482465.0,3605900
2025,acl->attr,acl,attr,101,2.4200038959666682e-05,0.02509917279587638,15004,4024037.0,4173547
2026,acl->attr,acl,attr,46,3.286202521517483e-05,0.03421178283550231,4849,1344566.0,1399792
2019,acl->aux,acl,aux,311,0.001265524032748995,1.3074313388349148,912,237871.0,245748
2020,acl->aux,acl,aux,5201,0.0014567843970296275,1.524081126477928,14066,3412548.0,3570192
2021,acl->aux,acl,aux,4815,0.0014260552586787235,1.496697008844034,12748,3217084.0,3376447
2022,acl->aux,acl,aux,3792,0.0013015086104816748,1.359955270669473,10523,2788327.0,2913542
2023,acl->aux,acl,aux,4070,0.0013289288213315605,1.3809455303509435,11046,2947256.0,3062617
2024,acl->aux,acl,aux,4803,0.0013319836933913863,1.3791954836588451,12862,3482465.0,3605900
2025,acl->aux,acl,aux,5272,0.0012631941128253736,1.310127118612478,15004,4024037.0,4173547
2026,acl->aux,acl,aux,1455,0.0010394401453930298,1.0821335657751274,4849,1344566.0,1399792
2019,acl->auxpass,acl,auxpass,28,0.00011393785503849472,0.1177108600880309,912,237871.0,245748
2020,acl->auxpass,acl,auxpass,432,0.00012100189569636592,0.12659162596394247,14066,3412548.0,3570192
2021,acl->auxpass,acl,auxpass,447,0.00013238768445054816,0.13894570362477324,12748,3217084.0,3376447
2022,acl->auxpass,acl,auxpass,300,0.000102967453360892,0.10759139799600262,10523,2788327.0,2913542
2023,acl->auxpass,acl,auxpass,300,9.79554413757907e-05,0.10178959683176488,11046,2947256.0,3062617
2024,acl->auxpass,acl,auxpass,350,9.706314650988657e-05,0.10050352264846882,12862,3482465.0,3605900
