feature,diff,p_value,cohens_d,slope,slope_p,change_point,its_pre_slope,its_pre_slope_p,its_level_shift,its_level_shift_p,its_slope_change,its_slope_change_p,its_post_slope,its_r_squared,p_adj
causal_marker_hence_per_1k_words,-38.644552499617475,0.004812000266605805,-3.2238028655947453,-0.009588829555273392,1.0235893399757764e-05,2026,-0.009304947695524009,0.06566844314044462,0.0032206699126042185,0.7374148174072845,-0.0014431224981602164,0.7397209230424604,-0.010748070193684225,0.9725582814579665,0.40420802239488757
word_notably_per_1k_words,49.29612239505323,0.0055110301454521825,3.432741240936629,0.019836263496660324,0.0002471778667309967,2026,0.019683603590647584,0.1924043012682215,-0.017897457282630168,0.5882010699936921,0.005625705826890443,0.7037748323639916,0.025309309417538027,0.9305110438754429,0.46292653221798336
emphasis_marker_notably_per_1k_words,49.29612239505323,0.0055110301454521825,3.432741240936629,0.019836263496660324,0.0002471778667309967,2026,0.019683603590647584,0.1924043012682215,-0.017897457282630168,0.5882010699936921,0.005625705826890443,0.7037748323639916,0.025309309417538027,0.9305110438754429,0.46292653221798336
adjective_comprehensive_per_1k_words,38.93341874457782,0.007111312370242438,3.255372876949144,0.03782490269774266,0.006889480700861232,2026,0.031742589059343816,0.569893928107182,0.042273735010973014,0.7510169174576986,-0.0024638335907818942,0.9671595387907312,0.029278755468561922,0.7437447807223864,0.5973502391003648
list_of_three,9.052831075802612,0.00782679513318505,2.7860891934346665,0.11047141137265674,0.0014879661517021448,2026,-0.02801355097012622,0.7632298564571172,0.274490009531064,0.2620174429895754,0.1503077338765561,0.1893475283761239,0.12229418290642988,0.901610706282826,0.6574507911875442
word_insight_per_1k_words,28.78184885251608,0.009310090103311632,3.50488117498338,0.036348678882194244,0.007819080855238709,2026,0.025762425467984067,0.644892012184429,0.024694973535441884,0.8534919158613659,0.010376413675240484,0.8637363324076683,0.03613883914322455,0.7221330964990089,0.782047568678177
causal_marker_accordingly_per_1k_words,-32.13050179107612,0.010161019899751982,-2.6338158205833255,-0.002885214131644566,0.0005270058660721375,2026,-0.00044366363021802963,0.8265670766346371,-0.007191200071647437,0.1926234293844442,-0.0019444448209023457,0.402409863754873,-0.0023881084511203753,0.9273063005871334,0.8535256715791665
marker_verbs_total_per_1k_words,56.88373927836285,0.010860753984036934,3.5753345892245423,0.20934215140381415,0.000346424658091249,2023,0.0713392671742692,0.5922583584558652,0.0880603036297638,0.7818071480027511,0.20542675441670621,0.2012597680835011,0.2767660215909754,0.9412113771931181,0.9123033346591025
verb_enhance_per_1k_words,53.11151367151673,0.01108818862761185,3.6040197252250117,0.0765176418958909,0.0029101722106704636,2026,0.008053952596222533,0.9256101248160289,0.11684624460843403,0.5836716982442938,0.07996512464091259,0.4186101112345615,0.08801907723713512,0.8300796705444244,0.9314078447193954
verb_exhibit_per_1k_words,47.875475242716,0.01156863493451801,3.1184122321613446,0.05495033786298681,7.693078815474471e-05,2026,0.04317698767894835,0.017638841155300344,-0.05237417454591839,0.12297605911524623,0.03549148067296006,0.04317552304125516,0.07866846835190841,0.9927246326788477,0.9717653344995127
list_of_three_per_1k_words,6.399812010812761,0.01244453860670334,2.5477337448560924,0.2752664767457099,0.0022072699630356065,2023,-0.05268711674680049,0.8292911084867911,0.41942700725721765,0.4915599055123352,0.42513393489025203,0.1653154669931245,0.37244681814345154,0.8928697128670893,1.0
coordination_count,6.303510488588005,0.012541459686750293,2.75281456378404,0.3961179524407681,0.0009432132428761999,2023,0.010914690483523393,0.9705008079847066,1.1761223237413372,0.15494603621515846,0.2943047829657696,0.3876538465875816,0.305219473449293,0.9198291725203369,1.0
hedge_ratio,-6.898062159032286,0.018911137012246237,-2.7217718172853096,-0.00013893738000264418,0.0006230875225219338,2026,-0.00015855666879638968,0.1197524501591225,-0.0001862972302017301,0.3927124795755965,8.88495742340116e-05,0.36993184495490805,-6.970709456237809e-05,0.9441667878482873,1.0
emphasis_markers_total_per_1k_words,30.70126963622556,0.02384585792197716,2.536158457495545,0.07550818451023787,0.0014694469821894365,2026,0.07391387400929288,0.25165665940639204,-0.13372552548408395,0.37389095393660843,0.04279609928681265,0.5182273032377993,0.11670997329610552,0.9148596046566869,1.0
flesch_kincaid_grade,5.389845763763389,0.02460384164533488,2.2716305438958746,0.27180721572623145,0.12619942468801484,2023,-1.0766290977678725,0.09691908397900129,2.541741747264075,0.10306119788862689,1.502850482490872,0.0512660210700322,0.4262213847229994,0.7793578467950449,1.0
summary_marker_collectively_per_1k_words,38.06603359666184,0.025273474747443025,2.4290936171264557,0.005060623143830651,0.01033936474676972,2026,0.006046254366104011,0.44489118477821665,-0.009523214492050491,0.6112526062481405,0.0012011038941958944,0.8854162268150421,0.0072473582602999055,0.737151228203333,1.0
verb_underscore_per_1k_words,77.4490671664029,0.025832331044294072,2.855281336147234,0.045923781856134334,0.0017723316711239243,2026,0.01202801370488319,0.7611831395777235,0.004467632934739504,0.9625931739012619,0.05560460061368004,0.2416178962060218,0.06763261431856324,0.898098525730632,1.0
dale_chall,1.9411559492382118,0.03152167839428509,2.1596009270262035,0.11346744309088574,0.029755619943870534,2026,-0.19099606746846304,0.28098274672991774,0.5077540188946094,0.24346142324640385,0.359172492071323,0.09933193093209858,0.16817642460285998,0.8007354649923105,1.0
marker_adjectives_total_per_1k_words,20.7431756122914,0.035925083517424565,2.5369133033151012,0.1036289820087998,0.06498985630361483,2026,0.011335367992251974,0.965830856196134,0.3212180166683176,0.6221129953162623,0.058687866547304963,0.8399793577360484,0.07002323453955694,0.4967405165478864,1.0
emphasis_marker_particularly_per_1k_words,34.211326886743244,0.037561908776321526,2.2884896859221477,0.057922964188953305,0.001988607963009758,2026,0.05138688898816744,0.3169408316043647,-0.09746322603292473,0.42149999288429196,0.04021957414719768,0.46010465316826155,0.09160646313536512,0.9059384724279569,1.0
word_particularly_per_1k_words,34.211326886743244,0.037561908776321526,2.2884896859221477,0.057922964188953305,0.001988607963009758,2026,0.05138688898816744,0.3169408316043647,-0.09746322603292473,0.42149999288429196,0.04021957414719768,0.46010465316826155,0.09160646313536512,0.9059384724279569,1.0
verb_align_per_1k_words,73.2247642202087,0.0384494786511212,2.384393110151513,0.025611864470294992,0.0005912243283280251,2026,0.004571716998189163,0.6349733970805878,0.00085416036371656,0.9703302065253978,0.0350911996440228,0.022866471917370124,0.03966291664221196,0.979746855540082,1.0
adjective_potential_per_1k_words,15.63759961931906,0.039297128427397535,2.382094569493671,0.05356596599255617,0.08563866798795233,2026,-0.0090463315549386,0.9516701953092461,0.19971491116299572,0.5882134590114754,0.045274186530892414,0.7829152333098168,0.036227854975953815,0.460476923803008,1.0
flesch_reading_ease,-18.591504236788836,0.0393401364359248,-2.0159178474318344,-1.2474323724261822,0.11925704790282073,2023,5.394498045694818,0.017446072270672852,-10.921719743822836,0.030925077765386,-7.8819271792964285,0.006469744953132572,-2.4874291336016103,0.9171991136366149,1.0
word_interplay_per_1k_words,32.51519495841625,0.040885688509545916,2.0279092666484244,0.00486982034492175,0.032864781746910904,2026,0.005520955093283998,0.5682707197746462,-0.012597612984124982,0.5899793562324507,0.0026853775179889136,0.796428759588999,0.008206332611272911,0.6448392740111761,1.0
causal_markers_total_per_1k_words,-18.372930370781777,0.040943252024042594,-2.1105832653592023,-0.03079959369380187,0.003798156330159432,2026,0.021321052504521716,0.3566614058518487,-0.06501214000865534,0.2602082784971602,-0.068059043610587,0.038650480598137804,-0.04673799110606528,0.9345471210076357,1.0
word_finding_per_1k_words,22.385232227128533,0.04645052824062433,2.168445295142839,0.12782585615647513,0.003984246765749065,2026,-0.062280520432102464,0.4121778110799905,0.12866021787377854,0.4789649449158928,0.2807806473066767,0.0197102672495042,0.2185001268745742,0.9581762782496487,1.0
marker_words_total_per_1k_words,22.878722009351534,0.0510021458177644,2.2131423413689,0.605726892632229,0.00177954304423116,2023,0.048470401015889064,0.8076592800891511,-0.22187805556616277,0.648834770948145,1.0027543225852997,0.00797932289635317,1.0512247236011887,0.9851107773090159,1.0
sequential_marker_moreover_per_1k_words,-17.64965599779823,0.06388762689545277,-1.9595106533959359,-0.011262183377211339,0.0033073852444475927,2026,0.0037246594453349867,0.6108304996105502,-0.008988557618606535,0.6120911852033895,-0.02248132865629586,0.03851073979829156,-0.018756669210960874,0.946049730560763,1.0
word_within_per_1k_words,11.842268180104943,0.06570103675590079,1.6676317195298076,0.05573925420550063,0.0011876060356685485,2026,0.0898347945486484,0.09912619966404335,-0.148024479248684,0.21921113648219914,-0.012873164001883097,0.7934364536092491,0.0769616305467653,0.9084504512054598,1.0
word_additionally_per_1k_words,28.596505498503515,0.0700972555939646,1.7810408221003144,0.01680167894635435,0.14790890561607434,2026,0.02576027875302133,0.6432072713192345,0.0418597081852816,0.7540562438330944,-0.02760836013078504,0.6502044696883853,-0.0018480813777637106,0.43658761348377817,1.0
sequential_marker_additionally_per_1k_words,28.596505498503515,0.0700972555939646,1.7810408221003144,0.01680167894635435,0.14790890561607434,2026,0.02576027875302133,0.6432072713192345,0.0418597081852816,0.7540562438330944,-0.02760836013078504,0.6502044696883853,-0.0018480813777637106,0.43658761348377817,1.0
summary_marker_ultimately_per_1k_words,23.536468043724803,0.0762277357900333,1.8600743507654067,0.00390512003331041,0.027075248828604712,2026,0.0014297674395997145,0.8501833627068871,-0.00048599175574280435,0.978801575952569,0.004304389884156802,0.6093340060668355,0.0057341573237565165,0.6319981711006293,1.0
contrast_marker_conversely_per_1k_words,22.715823061374525,0.07756301412143048,1.537243185771204,0.0028724770233760446,0.09078474739787294,2026,0.00613952765673411,0.42172319848510287,0.002872156606221852,0.871257882255495,-0.006350292045908116,0.4460009274088641,-0.00021076438917400596,0.5613972722592074,1.0
adjective_pivotal_per_1k_words,43.12323417991774,0.08048298132142137,1.5487658850081627,0.0030967782106709973,0.15850912789021274,2026,0.005385606273401906,0.6084852016615572,0.007020690035180723,0.7800518958043541,-0.0059514381559421506,0.6054538780162781,-0.0005658318825402442,0.43567642585838273,1.0
colon_per_1k_words,6.135032381666472,0.08251100918611011,1.4839590062911845,0.13664372679357414,0.047578363800423566,2026,-0.319272054298327,0.13614374945191,0.6819581583772274,0.17599649745467394,0.5613510647212258,0.040419233703104185,0.24207901042289875,0.8479042158354106,1.0
