feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
word_insight_per_1k_words,251.0253234846147,0.0027634188747647837,2.758605945001241,0.13805283539899457,0.00301510787479381,2024.0,0.21278325335688836
verb_enhance_per_1k_words,271.32822124875287,0.00945489910180541,2.3846321627323106,0.0944968420564987,0.09313251602365188,2024.0,0.7280272308390167
certainty_ratio,118.36483625153176,0.010012018172951331,1.8652459162139008,0.00024297631417565337,0.005189513826367205,2026.0,0.7709253993172525
causal_marker_thereby_per_1k_words,2552.9239791875075,0.011423000287652963,4.398386189409234,0.023912278400094238,0.000736064719871145,2026.0,0.8795710221492782
coordination_count,28.319510803910248,0.011686333134303539,1.4338952560726717,0.29811114431923535,0.0006931573127961343,2019.0,0.8998476513413725
sequential_marker_furthermore_per_1k_words,249.56375024654494,0.012721238397023032,2.419103810821354,0.05310524682967933,0.007318582846360972,2026.0,0.9795353565707734
word_notably_per_1k_words,1249.7731605128993,0.02187591729813387,3.02366233251751,0.016232571380608445,0.006538748233641139,2026.0,1.0
emphasis_marker_notably_per_1k_words,1249.7731605128993,0.02187591729813387,3.02366233251751,0.016232571380608445,0.006538748233641139,2026.0,1.0
list_of_three_per_1k_words,47.531455312059286,0.027870865024281846,1.5136659117178328,0.2675698539743512,0.0017287765850350265,2019.0,1.0
word_finding_per_1k_words,247.76003615308602,0.030827126737463316,2.0348664161901953,0.04019737284601234,0.0259604188981624,2026.0,1.0
verb_showcase_per_1k_words,185.18707547355555,0.04939823718087855,1.0370629681443575,0.010539642090817791,0.3198066165145167,2026.0,1.0
adjective_comprehensive_per_1k_words,569.0828861422714,0.05274478832588176,2.465917889102907,0.07064695410506378,0.012629656082646186,2026.0,1.0
word_within_per_1k_words,286.8495646345334,0.05476277428549765,2.092959887032901,0.0972031993125466,0.0037242725028687313,2024.0,1.0
sequential_marker_subsequently_per_1k_words,,0.06100628475574736,2.6746078209489044,0.0121822133011789,0.004822896189019927,2026.0,1.0
hedge_ratio,-39.25485666420226,0.07315878714179382,-0.8942830115680325,-0.00017777475724349426,0.01856859188265875,2026.0,1.0
verb_foster_per_1k_words,,0.08318154907007966,2.3373599679022683,0.005754852957697624,0.0697749225936131,2026.0,1.0
