feature,human_mean,human_std,ai_mean,ai_std,diff_ai_minus_human,ratio_ai_over_human,cohens_d
coordination_count_per_1k_words,44.03223637167645,19.549593779179187,58.74393163147174,21.274167447633264,14.711695259795292,1.334111925081746,0.720099531228615
flesch_reading_ease,24.17243521401087,15.479236200429153,31.965896157852878,12.633372745914928,7.793460943842007,1.322411080010869,0.5516266954677933
coordination_count,8.463182897862232,6.123904805852711,10.625890736342043,4.222857734501081,2.162707838479811,1.2555430816727478,0.4111629042442567
semicolon_per_1k_words,1.8351449136114006,5.105350709626276,0.1961311170284228,1.8446643537507315,-1.6390137965829779,0.10687500239011336,-0.426998897419985
list_of_three_per_1k_words,11.023518753785806,11.535973690156588,12.176433087200458,11.823226253951496,1.1529143334146514,1.1045867802437135,0.09870433693540706
dale_chall,12.50362426706531,1.043958579818049,11.531439942641237,0.9481468502413335,-0.9721843244240738,0.9222477976257797,-0.9749100921989827
flesch_kincaid_grade,15.685605803999895,3.12043202127988,14.776128023728864,2.4314727868999464,-0.9094777802710308,0.9420183197489822,-0.32513343493691654
avg_words_per_sentence,25.268608717979554,7.238966340117594,24.363981808637394,4.616915582204489,-0.9046269093421593,0.964199575867488,-0.14900338274316346
em_dash_per_1k_words,0.6575365269176148,3.065244475369796,0.0,0.0,-0.6575365269176148,0.0,-0.3033679961238355
marker_adjectives_total_per_1k_words,0.259740020997127,1.65952689374884,0.8344340094445494,2.626325418140698,0.5746939884474224,3.21257388923434,0.26160838735987246
clause_depth,12.029691211401426,3.065720430742312,12.388361045130642,2.4999419584801674,0.35866983372921624,1.0298153815776483,0.12822583979532032
semicolon_count,0.3847980997624703,1.0512013486853764,0.040380047505938245,0.39108233968659606,-0.34441805225653205,0.10493827160493828,-0.43427598976388015
causal_markers_total_per_1k_words,0.32930944743260937,1.7159177174535378,0.01265747787634452,0.2597907319629273,-0.31665196955626485,0.0384364249948668,-0.25803549579858553
coordination_density,0.9516638120247295,0.5077638394561786,1.2568688957984404,0.5064356428104617,0.3052050837737109,1.3207068293627413,0.601863494093349
colon_per_1k_words,2.0084918794122575,4.565721061168668,2.2816744361699155,6.394347459391651,0.273182556757658,1.1360137721032753,0.0491708317282134
clause_depth_per_sentence,1.7853999050851932,1.0599008289159908,1.5244507210222593,0.5496206842833636,-0.2609491840629339,0.8538427254758467,-0.30909465451661977
dependency_length,3.3741497987964437,0.4740111986481153,3.141027364444071,0.30796006894858846,-0.23312243435237257,0.9309092813734805,-0.5832381880375994
emphasis_markers_total_per_1k_words,0.37292794346825936,1.7599478629596141,0.5807666279514284,1.7874326072006692,0.20783868448316906,1.5573159322689871,0.11717516530358277
marker_density,2.210865670592021,4.399206871204934,2.0643628789226094,3.687797658179666,-0.1465027916694117,0.9337351004097044,-0.03609227503521326
