dataset,mean_pearson_r,best_match,best_match_r,worst_match,worst_match_r
arxiv_qbio_abstracts,0.5970744105351862,arxiv_ai_abstracts,0.9363990633491556,medarxiv_titles,0.16777820365032745
arxiv_ai_abstracts,0.5970231777952815,arxiv_stat_abstracts,0.9466438490790253,medarxiv_titles,0.16714863166117552
arxiv_stat_abstracts,0.5948716949137227,arxiv_ai_abstracts,0.9466438490790253,medarxiv_titles,0.22997203485355755
arxiv_qbio_titles,0.4622235443784787,arxiv_ai_titles,0.6314805589219963,medarxiv_abstracts,0.11629617004671003
arxiv_ai_titles,0.44677944124182717,arxiv_stat_titles,0.6398032213097344,medarxiv_titles,0.19746186730618115
medarxiv_abstracts,0.44265959794823523,arxiv_stat_abstracts,0.7448804850482978,arxiv_stat_titles,0.1115619674395627
arxiv_stat_titles,0.35501806639803185,arxiv_ai_titles,0.6398032213097344,medarxiv_titles,0.0836821137488889
medarxiv_titles,0.22152882996976583,medarxiv_abstracts,0.44942949757503664,arxiv_stat_titles,0.0836821137488889
