dataset,topic_id,topic_label,feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",flesch_reading_ease,readability,2022-11-30,136,95,41,21.072527124932307,12.555628448806903,1.0978016460735283,-0.030821434067527336,-0.369857208810328,0.5324932818818673,0.1948274375671632,0.15063150425022742,0.9143550595135072,0.006273110007466458,-0.32957665653404244,-3.9549198784085093,0.0062424931231672195,0.07490991747800663,-4.101743316665402,-3.8080964401516164,-3.602581479590547,0.06823629546005375,-3.7363246186922523,-3.4688383404888414,0.0,-0.3603980906015698,-4.324777087218838,0.9916292875345459,monthly_segmented_wls_hac,6,0.0,0.012546220014932916
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",avg_syllables_per_word,readability,2022-11-30,136,95,41,1.8939349538935304,1.9826069516241351,0.010393839413379118,0.0002795483106912981,0.0033545797282955774,-0.001719680702736745,0.0025207185056133584,-0.0066602889737389275,0.0032209275682654375,0.49510082221089513,0.003398406526959624,0.040780878323515485,0.00012156684984673305,0.0014588021981607965,0.03792162601512032,0.04364013063191065,3.923562477886822,0.14035258196148412,3.648471417242313,4.198653538531331,5.724493793058995e-172,0.0036779548376509224,0.04413545805181107,0.9907669143278057,monthly_segmented_wls_hac,6,5.724493793058995e-172,0.49510082221089513
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",verb_align_per_1k_words,verbs,2022-11-30,136,95,41,0.10964016360241365,0.3663382581195412,0.04477460978884199,0.0010973210721381258,0.01316785286565751,-0.031737899696775464,0.011323675477396147,-0.05393230363247191,-0.009543495761079015,0.005066243339703051,0.010612436361487017,0.1273492363378442,0.000429423516407443,0.005153082196889316,0.11724919523194113,0.13744927744374727,2.8442288372456153,0.11508938260302795,2.61865364734368,3.0698040271475504,7.711330058160267e-135,0.011709757433625142,0.1405170892035017,0.9635077247905699,monthly_segmented_wls_hac,6,7.711330058160267e-135,0.005066243339703051
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",word_across_per_1k_words,marker_words,2022-11-30,136,95,41,0.5260977103635838,1.8880379665246216,0.16203494320788092,0.004133691695679946,0.04960430034815935,-0.316181880863099,0.07195247507862754,-0.457208732017209,-0.17515502970898902,1.1112230177198085e-05,0.06604445680104795,0.7925334816125754,0.002982262968915173,0.03578715562698208,0.7223906565836906,0.8626763066414602,4.891126974974796,0.22086072867053957,4.458239946780538,5.324014003169053,1.1463159758755645e-108,0.0701781484967279,0.8421377819607349,0.9876042196939059,monthly_segmented_wls_hac,6,1.1463159758755645e-108,1.1112230177198085e-05
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",clause_depth_std,syntax,2022-11-30,136,95,41,2.182980294732525,2.094307360389038,0.04431012488938033,1.5810687815627045e-05,0.00018972825378752453,0.039206938124355425,0.009276206873786864,0.02102557265173317,0.05738830359697768,2.3723498465614247e-05,-0.006023634063947663,-0.07228360876737196,0.0003019283423489728,0.0036231401081876736,-0.0793849633794198,-0.06518225415532411,-1.6313113300363533,0.08176777017065055,-1.7915761595708286,-1.4710465005018782,1.482724664264583e-88,-0.006007823376132036,-0.07209388051358442,0.8908531274770689,monthly_segmented_wls_hac,6,2.965449328529166e-88,2.3723498465614247e-05
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",clause_depth,syntax,2022-11-30,136,95,41,11.317266137044424,11.127024072632913,0.12949533365830543,0.0008676193872700477,0.010411432647240572,0.1264923785571611,0.026410503514129623,0.07472779166946705,0.17825696544485517,1.6722036667027509e-06,-0.01811206291042986,-0.21734475492515834,0.0010911076717088311,0.013093292060505975,-0.24300760736375004,-0.19168190248656664,-1.6783983544816985,0.10111014575285594,-1.8765742401572962,-1.480222468806101,7.0037017422606975e-62,-0.017244443523159812,-0.20693332227791775,0.8794015706185299,monthly_segmented_wls_hac,6,7.0037017422606975e-62,3.3444073334055017e-06
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",sequential_marker_moreover_per_1k_words,sequential_markers,2022-11-30,136,95,41,0.3705306244311356,0.36329498833231305,0.07697896348590366,0.0014378467611754447,0.017254161134105335,0.05242808061844356,0.024210243909653564,0.0049760025555225795,0.09988015868136454,0.030346895801899632,-0.006948556279482579,-0.08338267535379096,0.0008281112874276071,0.009937335449131285,-0.10285985283408827,-0.06390549787349363,-1.0831878162280002,0.1290915725430754,-1.336207298412428,-0.8301683340435724,4.826463384984179e-17,-0.005510709518307134,-0.0661285142196856,0.6421825337858189,monthly_segmented_wls_hac,6,4.826463384984179e-17,0.030346895801899632
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",em_dash_per_1k_words,punctuation,2022-11-30,136,95,41,0.4467168426834145,0.4825158185167732,0.13263744892361692,-0.0011111631253685314,-0.013333957504422376,-0.2395382692479351,0.09179639251144965,-0.4194591985703764,-0.059617339925493784,0.009068739893593455,0.016782196618626954,0.20138635942352345,0.003680011159758302,0.04416013391709962,0.1148324969460082,0.28794022190103874,1.518322020348096,0.33293865552654367,0.8657622555160706,2.170881785180122,5.106461587742367e-06,0.015671033493258425,0.1880524019191011,0.6002104196874936,monthly_segmented_wls_hac,6,5.106461587742367e-06,0.009068739893593455
arxiv_ai_abstracts,0,"data, model, learning, models, training, based, performance",emphasis_marker_crucially_per_1k_words,emphasis_markers,2022-11-30,136,95,41,0.018919561866229378,0.03308877603141024,0.016197202179449345,-7.304194507555317e-05,-0.000876503340906638,-0.02024986317199485,0.009963377592769083,-0.03977808325382225,-0.0007216430901674474,0.04211018773860734,0.001820257700297704,0.021843092403572448,0.0004178473735525951,0.005014168482631141,0.01201532217761541,0.03167086262952948,1.348571942337454,0.30957003728662524,0.7418146692556686,1.9553292154192392,1.322950793950442e-05,0.0017472157552221508,0.02096658906266581,0.6297722566756823,monthly_segmented_wls_hac,6,1.322950793950442e-05,0.04211018773860734
arxiv_ai_abstracts,1,"models, language, model, llms, based, data, large",flesch_reading_ease,readability,2022-11-30,136,95,41,24.142238490453224,14.473658040153627,1.3450367259424159,-0.028256942734895384,-0.3390833128187446,0.3504682941326157,0.24460045213078704,-0.12894859204372688,0.8298851803089583,0.15190943109778599,-0.3824655832949025,-4.58958699953883,0.008254721164992736,0.09905665397991284,-4.7837380413394595,-4.395435957738201,-3.4122391686539872,0.07364605892861968,-3.556585444154082,-3.2678928931538924,0.0,-0.41072252602979786,-4.928670312357575,0.98694733747485,monthly_segmented_wls_hac,6,0.0,0.15190943109778599
