dataset_a,dataset_b,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
arxiv_ai_abstracts,arxiv_qbio_abstracts,10,0.9716212539251364,2.742103011174578e-06,0.9,0.8146049336806208
arxiv_ai_abstracts,arxiv_stat_abstracts,10,0.9559478823089068,1.5620686691902854e-05,0.9,0.5098378911199921
arxiv_qbio_abstracts,arxiv_stat_abstracts,10,0.9472598362205921,3.175334095245049e-05,0.8,0.29458397202656483
arxiv_qbio_abstracts,medarxiv_abstracts,10,0.9241452964938864,0.00013207399123667712,0.6,0.7896308014375781
arxiv_ai_abstracts,medarxiv_abstracts,10,0.9113923410243887,0.00024205842268431384,0.5,1.3159851492135872
arxiv_stat_abstracts,medarxiv_abstracts,10,0.893184637568679,0.0004997237622534536,0.6,0.6878459742495333
arxiv_ai_titles,arxiv_qbio_titles,10,0.747677744592798,0.012908371811777605,0.9,0.11094427840918765
arxiv_ai_abstracts,arxiv_qbio_titles,10,0.6311127419266397,0.05037272874534146,0.6,1.4213154454650652
arxiv_qbio_abstracts,arxiv_qbio_titles,10,0.6066995485359293,0.06291825977793467,0.5,0.7913972053297762
arxiv_qbio_titles,arxiv_stat_abstracts,10,0.5569540928502067,0.09444446173934282,0.5,0.8507808694663246
arxiv_qbio_titles,arxiv_stat_titles,10,0.5370831699617519,0.1094046499758065,0.8,0.14250539539195717
arxiv_qbio_titles,medarxiv_abstracts,10,0.5150543605665959,0.12763714231281292,0.3,0.9503252183424611
arxiv_ai_titles,arxiv_stat_titles,10,0.49155846697333666,0.1490353240301486,0.9,0.08877044715775889
arxiv_qbio_titles,medarxiv_titles,10,0.4887032109095767,0.1517746447060124,0.3,0.6476655890002125
arxiv_stat_abstracts,medarxiv_titles,10,0.48786594385855914,0.1525836578000307,0.6,0.8224448916744868
arxiv_qbio_abstracts,arxiv_stat_titles,10,0.48509016478756345,0.15528441630180634,0.7,0.7193319309436441
arxiv_ai_abstracts,medarxiv_titles,10,0.4455487521109279,0.19688535876342644,0.5,1.3653930859005117
medarxiv_abstracts,medarxiv_titles,10,0.42850162913924383,0.216630353197552,1.0,0.48100828952089364
arxiv_stat_titles,medarxiv_abstracts,10,0.4282402938800837,0.216941533396797,0.3,0.9693904804430356
arxiv_ai_abstracts,arxiv_stat_titles,10,0.37064644431638283,0.29171525480273847,0.6,1.3887219753269004
arxiv_ai_titles,medarxiv_titles,10,0.3436974355961644,0.3308572028219025,0.2,0.7848676951780262
arxiv_qbio_abstracts,medarxiv_titles,10,0.3380586740660706,0.33937240770109683,0.6,0.5278609196479219
arxiv_ai_abstracts,arxiv_ai_titles,10,0.3172028340595695,0.3718215876683127,0.7,1.4345634815231771
arxiv_ai_titles,arxiv_qbio_abstracts,10,0.30755149456999453,0.38733674422590253,0.6,0.7332402005971828
arxiv_stat_abstracts,arxiv_stat_titles,10,0.2923384921329784,0.4124161781006204,0.5,0.7132695619106584
arxiv_ai_titles,arxiv_stat_abstracts,10,0.2669989580107977,0.45582582075592115,0.6,0.7639592428216424
arxiv_ai_titles,medarxiv_abstracts,10,0.052066981545844146,0.8864117460718393,0.2,0.9007226347175157
arxiv_stat_titles,medarxiv_titles,10,-0.07232055018586693,0.8426236368247392,0.3,0.7126617763392249
