family,dataset_a,dataset_b,n_features,pearson_r,pearson_p,same_direction_share,median_abs_difference
contrast_markers,arxiv_ai_abstracts,medarxiv_abstracts,5,0.5621095684537655,0.3240153723160992,0.6,0.4170692188925763
discourse_marker_totals,arxiv_ai_abstracts,arxiv_qbio_abstracts,5,0.9908533245170265,0.0010486535077681746,1.0,0.7136844985875488
discourse_marker_totals,arxiv_qbio_abstracts,arxiv_stat_abstracts,5,0.9758715158901907,0.004482815017907605,1.0,0.16778684901398266
discourse_marker_totals,arxiv_ai_abstracts,arxiv_stat_abstracts,5,0.9499686945701056,0.013332458974088525,1.0,0.5099279889472825
discourse_marker_totals,arxiv_ai_abstracts,medarxiv_abstracts,5,0.8920750582840873,0.04186566792554634,0.8,0.8612294052911119
discourse_marker_totals,arxiv_stat_abstracts,medarxiv_abstracts,5,0.8882159851250213,0.04410461271021659,0.8,0.5119438086414547
discourse_marker_totals,arxiv_qbio_abstracts,medarxiv_abstracts,5,0.8800202159515639,0.04898030395920205,0.8,0.7020483132968052
discourse_marker_totals,medarxiv_abstracts,medarxiv_titles,4,0.8245178406821595,0.1754821593178404,0.75,1.1762452526416691
discourse_marker_totals,arxiv_stat_abstracts,medarxiv_titles,4,0.6429108484394205,0.3570891515605794,0.5,0.7402899426656209
discourse_marker_totals,arxiv_qbio_abstracts,medarxiv_titles,4,0.5210762902785325,0.47892370972146736,0.5,0.7373828486412662
discourse_marker_totals,arxiv_stat_abstracts,arxiv_stat_titles,4,0.5074933314707948,0.4925066685292052,0.75,0.7574831018245639
discourse_marker_totals,arxiv_ai_abstracts,medarxiv_titles,4,0.5054780318237841,0.49452196817621585,0.5,1.4786555187629187
discourse_marker_totals,arxiv_qbio_abstracts,arxiv_stat_titles,4,0.4290850292084171,0.5709149707915828,0.75,0.8185086445557215
discourse_marker_totals,arxiv_ai_abstracts,arxiv_stat_titles,4,0.3656513339203997,0.6343486660796003,0.75,1.57777067672103
discourse_marker_totals,arxiv_ai_titles,medarxiv_titles,4,0.3342880624707768,0.6657119375292231,0.75,0.21196108200451397
discourse_marker_totals,arxiv_ai_titles,arxiv_stat_titles,4,0.1513337648817798,0.8486662351182201,0.5,0.06908676280994824
discourse_marker_totals,arxiv_stat_titles,medarxiv_abstracts,4,0.07042744632784637,0.9295725536721537,0.5,1.1948755036674283
discourse_marker_totals,arxiv_stat_titles,medarxiv_titles,4,-0.05388589082391171,0.9461141091760883,0.25,0.17518157565019876
discourse_marker_totals,arxiv_ai_titles,arxiv_stat_abstracts,4,-0.19388747756976,0.8061125224302401,0.25,0.8795655874893428
discourse_marker_totals,arxiv_ai_titles,medarxiv_abstracts,4,-0.21849191827838843,0.7815080817216116,0.5,1.3916353501122536
discourse_marker_totals,arxiv_qbio_titles,arxiv_stat_titles,4,-0.22679601334499658,0.7732039866550033,0.75,0.0289044685807243
