dataset,dependency_role,slope_change_per_year,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high
arxiv_ai_abstracts,ROOT,-0.0005182849518664675,0.00012935785787257953,-0.0007718263532967235,-0.00026474355043621165
arxiv_ai_abstracts,acl,-0.000270435032444602,0.00010738325063845012,-0.0004809062036959642,-5.996386119323975e-05
arxiv_ai_abstracts,acomp,-0.00015676908156935431,9.894607698185943e-05,-0.0003507033924537988,3.7165229315090165e-05
arxiv_ai_abstracts,advcl,0.0010611657868309001,0.00024253341923017986,0.0005858002851397476,0.0015365312885220527
arxiv_ai_abstracts,advmod,-0.00036120871172604097,0.00011630943775449638,-0.0005891752097248539,-0.00013324221372722808
arxiv_ai_abstracts,agent,1.7332668755920273e-05,2.1645213278361545e-05,-2.509194926966835e-05,5.97572867815089e-05
arxiv_ai_abstracts,amod,0.006762797366542658,0.0005368671530600896,0.005710537746544883,0.007815056986540433
arxiv_ai_abstracts,appos,0.0014038708938170124,0.00014016898100997343,0.0011291396910374644,0.0016786020965965604
arxiv_ai_abstracts,attr,-0.0003853405060093676,5.6752208646007164e-05,-0.0004965748349555416,-0.00027410617706319357
arxiv_ai_abstracts,aux,-0.003361802445911866,0.00018619855983338356,-0.003726751623185298,-0.0029968532686384343
arxiv_ai_abstracts,auxpass,-0.0006699218697718068,0.00013359265326994606,-0.0009317634701809011,-0.0004080802693627126
arxiv_ai_abstracts,case,-0.00013985866177705934,6.80857513702939e-05,-0.00027330673446283535,-6.41058909128331e-06
arxiv_ai_abstracts,cc,0.0012537353201426717,0.0001897600450700579,0.0008818056318053582,0.001625665008479985
arxiv_ai_abstracts,ccomp,0.0005164577946256998,0.00017297475901359083,0.00017742726695906176,0.0008554883222923377
arxiv_ai_abstracts,compound,0.003402481842257228,0.0003354252953446038,0.0027450482633818046,0.004059915421132651
arxiv_ai_abstracts,conj,0.0020825144324812753,0.0002876565134645393,0.0015187076660907782,0.0026463211988717724
arxiv_ai_abstracts,csubj,-1.6019533624112275e-05,1.6694453103377975e-05,-4.8740661706733106e-05,1.6701594458508556e-05
arxiv_ai_abstracts,csubjpass,-4.083487826877995e-06,2.667982648764337e-06,-9.312733818456095e-06,1.1457581647001053e-06
arxiv_ai_abstracts,dative,-9.331917906817628e-06,4.408962863258714e-06,-1.7973485118804705e-05,-6.9035069483055e-07
arxiv_ai_abstracts,dep,8.427391504929973e-05,1.48138702534126e-05,5.523872935261104e-05,0.00011330910074598842
arxiv_ai_abstracts,det,-0.006396939544681596,0.0005160776126052697,-0.007408451665387924,-0.005385427423975267
arxiv_ai_abstracts,dobj,0.001531860693141868,0.0006033170269936637,0.00034935932023428705,0.002714362066049449
arxiv_ai_abstracts,expl,-0.00013524545052049744,1.0091156695484642e-05,-0.00015502411764364734,-0.00011546678339734754
arxiv_ai_abstracts,intj,-5.360063305889593e-07,4.233044052345294e-06,-8.832772673185735e-06,7.760760012007816e-06
arxiv_ai_abstracts,mark,0.0006170774883538671,0.0001406909269806755,0.0003413232714717431,0.0008928317052359911
arxiv_ai_abstracts,meta,4.950445414300377e-05,2.0231048666240288e-05,9.851598757172801e-06,8.915730952883473e-05
arxiv_ai_abstracts,neg,-0.00012144749844277371,5.10037824059798e-05,-0.00022141491195849412,-2.148008492705331e-05
arxiv_ai_abstracts,nmod,0.0006622933333683971,0.0001533680645852348,0.00036169192678133687,0.0009628947399554573
arxiv_ai_abstracts,npadvmod,0.001384948580617865,0.00018391167746561289,0.0010244816927852637,0.0017454154684504663
arxiv_ai_abstracts,nsubj,0.001689821436979929,0.0002813750582397776,0.0011383263228299649,0.002241316551129893
arxiv_ai_abstracts,nsubjpass,-0.0005937790230707997,0.00012010833555949115,-0.0008291913607674023,-0.0003583666853741971
arxiv_ai_abstracts,nummod,0.001220164276877328,0.0001872561931850452,0.0008531421382346395,0.0015871864155200166
arxiv_ai_abstracts,oprd,-0.00013908347407772334,1.7039364474242214e-05,-0.00017248062844723807,-0.0001056863197082086
arxiv_ai_abstracts,parataxis,1.7347638502587586e-05,6.972358475693328e-06,3.6818158902286615e-06,3.101346111494651e-05
arxiv_ai_abstracts,pcomp,-0.0006834499585169506,0.00020968500155270456,-0.0010944325615602516,-0.0002724673554736497
