feature,family,all_four_estimable,same_direction,all_four_q_lt_05,min_abs_standardized_effect,mean_abs_standardized_effect,is_group_aggregate,manuscript_group,selected,selection_reason
marker_words_total_per_1k_words,marker_words,True,True,True,2.723358800949609,3.193684827373784,True,Lexical markers,False,not selected
verb_delve_per_1k_words,verbs,True,True,False,2.430993592035188,3.4187469912285784,False,Lexical markers,False,not selected
verb_underscore_per_1k_words,verbs,True,True,False,1.4641265646946977,3.270099781678155,False,Lexical markers,False,not selected
marker_verbs_total_per_1k_words,verbs,True,True,False,1.4320198752699818,1.8802121842775392,True,Lexical markers,False,not selected
sentence_depth_std,syntax,True,True,True,1.122670343881046,1.594829503033721,False,Syntax,False,not selected
sequential_markers_total_per_1k_words,discourse_marker_totals,True,True,True,1.0694635589829284,1.5191311479114677,True,Rhetorical stance,False,not selected
verb_enhance_per_1k_words,verbs,True,True,False,0.9414971951606714,1.1688674602987263,False,Lexical markers,False,not selected
emphasis_markers_total_per_1k_words,discourse_marker_totals,True,True,False,0.8348028351752352,1.4631250263289775,True,Rhetorical stance,False,not selected
emphasis_marker_particularly_per_1k_words,emphasis_markers,True,True,False,0.8208031609499314,1.5719093030750795,False,Rhetorical stance,False,not selected
word_particularly_per_1k_words,marker_words,True,True,False,0.8208031609499314,1.5719093030750795,False,Lexical markers,False,not selected
contrast_markers_total_per_1k_words,discourse_marker_totals,True,True,True,0.786055631606174,0.8740535997563739,True,Rhetorical stance,False,not selected
contrast_marker_however_per_1k_words,contrast_markers,True,True,True,0.7369544121421516,0.8155821911255343,False,Rhetorical stance,False,not selected
automated_readability_index,readability,True,True,True,0.6963002379340211,2.1515915572763,False,Readability,False,not selected
flesch_kincaid_grade,readability,True,True,True,0.6635754096418708,2.187004693448867,False,Readability,False,not selected
certainty_ratio,other,True,True,False,0.6459674620168439,0.9596026778629753,False,Rhetorical stance,False,not selected
word_finding_per_1k_words,marker_words,True,True,False,0.5968357397761891,1.4047158485338742,False,Lexical markers,False,not selected
sequential_marker_additionally_per_1k_words,sequential_markers,True,True,False,0.5958804634941708,1.0091969289623903,False,Rhetorical stance,False,not selected
word_additionally_per_1k_words,marker_words,True,True,False,0.5958804634941708,1.0091969289623903,False,Lexical markers,False,not selected
sequential_marker_furthermore_per_1k_words,sequential_markers,True,True,False,0.5281376596123875,0.8036853464636823,False,Rhetorical stance,False,not selected
adjective_intricate_per_1k_words,adjectives,True,True,False,0.4491395399139006,0.7180786406679633,False,Lexical markers,False,not selected
causal_markers_total_per_1k_words,discourse_marker_totals,True,True,True,0.41627684433235,0.8652382538229977,True,Rhetorical stance,False,not selected
dependency_entropy,syntax,True,True,True,0.4137856761157044,0.5193299158511224,False,Syntax,False,not selected
sequential_marker_further_per_1k_words,sequential_markers,True,True,True,0.3899637901485179,0.624287439205233,False,Rhetorical stance,False,not selected
verb_showcase_per_1k_words,verbs,True,True,False,0.3806339802027914,1.0686258156064583,False,Lexical markers,False,not selected
summary_markers_total_per_1k_words,discourse_marker_totals,True,False,False,0.3363402365896859,0.4293210163809694,True,Rhetorical stance,False,not selected
sequential_marker_subsequently_per_1k_words,sequential_markers,True,True,False,0.2880765272803192,0.5177953794901804,False,Rhetorical stance,False,not selected
causal_marker_hence_per_1k_words,causal_markers,True,True,True,0.2849819668096447,0.699359072350497,False,Rhetorical stance,False,not selected
word_realm_per_1k_words,marker_words,True,True,False,0.2713517662252242,0.8671030156286591,False,Lexical markers,False,not selected
contrast_marker_nevertheless_per_1k_words,contrast_markers,True,True,False,0.2653026187474369,0.5852149159260011,False,Rhetorical stance,False,not selected
word_within_per_1k_words,marker_words,True,True,False,0.2174645880529182,0.6693121114058668,False,Lexical markers,False,not selected
dependency_length,syntax,True,False,False,0.1984880348733134,1.142184108884944,False,Syntax,False,not selected
coordination_per_sentence_std,syntax,True,False,False,0.1964695279379827,0.7201016353077292,False,Syntax,False,not selected
emphasis_marker_remarkably_per_1k_words,emphasis_markers,True,True,False,0.1884631437461601,0.24669200301689453,False,Rhetorical stance,False,not selected
