feature,family,arxiv_ai_abstracts,arxiv_ai_titles,arxiv_qbio_abstracts,arxiv_qbio_titles,arxiv_stat_abstracts,arxiv_stat_titles,medarxiv_abstracts,medarxiv_titles,range,mean_abs_slope
verb_delve_per_1k_words,verbs,-5.5170553459850655,-0.1078747671217194,-2.5291226078587266,,-2.430993592035188,0.2054713028016894,-3.197816419035334,,5.722526648786755,2.331389005806287
word_across_per_1k_words,marker_words,6.100739871010344,0.8114449709051418,3.876553017225164,0.6147530255955438,3.8820701558864417,0.3918276257326186,3.099271289093557,0.8193505687261257,5.708912245277725,2.449501315521867
verb_underscore_per_1k_words,verbs,4.252396750617382,,1.4641265646946977,,2.83571274969404,,4.528163061706501,-0.1978579930256339,4.7260210547321355,2.655651423947651
avg_syllables_per_word,readability,4.154266046167649,-0.3316264301145202,3.7810465666776896,0.0833567891447117,2.748489754298036,-0.1968765604209494,1.2426607774508431,-0.0302506757955845,4.485892476282169,1.571071700008748
gunning_fog,readability,4.023894969576652,0.4701162093649913,2.7324132787424067,0.5401495526994055,1.890145267585852,0.4236006053305648,0.5908436422256943,-0.4251688261563994,4.449063795733052,1.3870415439602457
flesch_kincaid_grade,readability,3.440728191614141,0.1830400251778001,2.793823516375478,0.4644749872926,1.8498916561639795,0.1922946361067766,0.6635754096418708,-0.4501163003720402,3.890844491986181,1.2547430903430858
smog_index,readability,3.088840075983544,0.2559797915337493,2.222387489290016,0.4885383580337439,1.615751588830295,0.3498536460262377,0.1768042658431074,-0.75322308749925,3.842063163482794,1.118922287879993
flesch_reading_ease,readability,-3.4963845338067863,-0.2049524131537014,-3.4064302792445904,-0.4449153012745118,-2.561784436944293,-0.1731943130638566,-0.8665238351548871,0.2725414141245885,3.7689259479313746,1.428340815845902
marker_words_total_per_1k_words,marker_words,3.944243430631971,0.6034215002863864,3.3314680226770186,0.5845829772276825,2.723358800949609,0.3297846903067038,2.775669055236537,1.107866504417642,3.6144587403252673,1.9250493727166937
word_while_per_1k_words,marker_words,3.242070220565256,0.0616290994734303,1.8032660937514968,-0.2357902581356735,1.7969723446013814,0.1590087519237619,2.0657364945202543,-0.3189857095759801,3.561055930141236,1.2104323715684044
automated_readability_index,readability,2.9325511061767133,0.144073114573859,3.004699042771838,0.3929448279844253,1.9728158422226267,0.2871193423565354,0.6963002379340211,-0.491920928869412,3.49661997164125,1.240303055361179
dale_chall,readability,2.558246735711338,0.5251961909841817,3.159582197075655,0.3454197879808482,3.4034531355412803,0.3188546080068188,0.7578990617000464,-0.0398436613140294,3.44329679685531,1.3885619222892747
em_dash_per_1k_words,punctuation,2.346475158467144,-0.494746741412974,1.4465130405011632,-0.3818730956582992,1.4629657577919302,-0.2489292077602005,2.844746052612079,-0.1230454706517577,3.3394927940250527,1.1686618156069435
dependency_length,syntax,2.204313359736357,0.2578624458422284,1.201401744295481,0.2121383803581832,0.9645332966346244,0.4001373321267005,-0.1984880348733134,-0.9082953094313954,3.1126086691677526,0.7933962379122854
marker_verbs_total_per_1k_words,verbs,1.747387315303205,0.4856292141160122,1.4320198752699818,-0.1252694684303681,1.4541141123708472,0.3765278830293351,2.887327434166122,0.2294274625407497,3.0125969025964903,1.0922128456533278
