topic_id,topic_label
0,"sars, sars cov, vaccine, vaccination, hiv, epidemic, antibody"
1,"diabetes, gwas, genome wide, kidney, prs, type diabetes, traits"
2,"coronary, cvd, asthma, ischemic, atrial, ventricular, heart failure"
3,"alzheimers, tau, alzheimers disease, asd, eeg, autism, amyloid"
4,"mental health, maternal, pregnancy, 19 pandemic, mothers, school, opioid"
5,"gpt, llm, ehr, electronic health, nlp, notes, models llms"
6,"retinal, glaucoma, macular, caries, diabetic, ocular, amd"
7,"hearing loss, tinnitus, cochlear, auditory, hearing aids, hearing aid, speech perception"
8,"breast, yidixie, pet, breast cancer, radiomics, hnc, gy"
