feature,human_mean,human_std,ai_mean,ai_std,diff_ai_minus_human,ratio_ai_over_human,cohens_d
avg_words_per_sentence,19.7356849218892,7.236121637657874,37.38012916822986,13.800713252996783,17.644444246340658,1.8940375931301423,1.6013259160706703
flesch_reading_ease,61.02755680481897,16.05788134912211,45.43414093761099,11.964303271137172,-15.59341586720798,0.7444856605175998,-1.101245166982813
coordination_count_per_1k_words,31.5917398990826,17.865183994032254,42.42506576235975,16.975618873666882,10.83332586327715,1.3429164046641109,0.6216731871509636
flesch_kincaid_grade,9.533532723344937,3.3338791467617943,12.818276308952626,2.371612335399924,3.284743585607689,1.3445463167671599,1.135397376702048
clause_depth,9.322145944571574,2.53945674536981,12.389524535977625,2.7191929459744113,3.067378591406051,1.3290421121536111,1.165922303775577
coordination_count,5.733282481566234,6.05395403362899,8.58326976862446,4.12291993089307,2.8499872870582257,1.4970952148654044,0.5502724885324982
list_of_three_per_1k_words,3.7544935273138136,7.398790411321176,6.036329855248878,7.191827766178293,2.2818363279350646,1.6077614227684194,0.3127498475456709
colon_per_1k_words,6.354157529852429,19.411633114123624,8.31698457346351,12.037888743417085,1.96282704361108,1.308904372356136,0.12152827824951945
hedge_count,1.0053394355453853,1.5933872657328412,2.3811339944063055,2.2382097635549427,1.3757945588609202,2.3684876074860894,0.7081727899962226
marker_adjectives_total_per_1k_words,0.13569651613458208,1.044931861999551,1.3233428461659245,3.2546637238679836,1.1876463300313425,9.75222418277452,0.49135230855131184
colon_count,0.7653190948385457,1.6150668333002334,1.8815153826595474,2.6711404672552477,1.1161962878210017,2.4584717607973423,0.5057077232969406
semicolon_per_1k_words,0.9649302072945961,3.582576860460333,0.013130389185616487,0.26303041805430866,-0.9517998181089796,0.01360760507480697,-0.3747121126465158
dale_chall,9.117888290006,1.2919488537976285,10.041631428993416,1.1123940856141499,0.9237431389874153,1.1013110831813895,0.7662617408192863
coordination_density,0.5447870460363026,0.3605327946061323,1.3257118184212808,0.6776877659717402,0.7809247723849783,2.4334495984563853,1.4387203627252543
em_dash_per_1k_words,0.7245108384365593,12.63033716041948,0.006376280743600561,0.1674976636953552,-0.7181345576929588,0.00880080794562039,-0.0804021558908712
clause_depth_per_sentence,1.357400386139601,0.8322284835817247,2.023211546417014,0.8378589076080628,0.6658111602774133,1.4905046197687897,0.7973323791924172
summary_markers_total_per_1k_words,0.1398951034650833,1.1051185791239133,0.7650582012637309,2.1908808348553555,0.6251630977986476,5.468798995203455,0.36030073686477987
sentence_depth_std,1.964405958643274,0.9447075458400207,2.4951196618432943,1.2077128593044053,0.5307137032000202,1.2701649833960797,0.48949137183208785
list_of_three,0.7391304347826086,1.3488953909435633,1.25349605898805,1.5040014810607023,0.5143656242054413,1.6959064327485383,0.36006005757899734
marker_density,1.1546371956306833,3.9558765174350627,1.5179910456270858,3.143470841034711,0.3633538499964024,1.3146909274804126,0.10169889333416295
marker_words_total_per_1k_words,1.1546371956306833,3.9558765174350627,1.5179910456270858,3.143470841034711,0.3633538499964024,1.3146909274804126,0.10169889333416295
dependency_length_norm,2.9612766501892933,0.4154815307685508,3.293862236961787,0.3390499727315291,0.3325855867724936,1.1123115554743033,0.877080072300509
causal_markers_total_per_1k_words,0.27626222651681903,1.6493466070385014,0.005443166571137703,0.1736138851913147,-0.27081905994568134,0.01970289836495732,-0.23093486451619116
dependency_length,3.2010878073821734,0.48494221499209356,3.465796153437583,0.44399533078631775,0.2647083460554098,1.0826932474157547,0.5693634834206588
marker_adjectives_total,0.030765319094838546,0.2087100065486835,0.2730739893211289,0.657672174863976,0.24230867022629038,8.87603305785124,0.49663606743225225
adjective_potential,0.024663107042969742,0.1863935162048905,0.2590897533689296,0.6483776493089212,0.23442664632595983,10.50515463917526,0.4914182958306959
contrast_markers_total_per_1k_words,0.23150214857877266,1.765644342029633,0.0,0.0,-0.23150214857877266,0.0,-0.18542436347190294
semicolon_count,0.20264429188914315,0.7643993278996766,0.0030511060259344014,0.05959209156706051,-0.19959318586320876,0.015056461731493099,-0.3681498755936963
em_dash_count,0.15001271294177473,3.2046782189671017,0.0015255530129672007,0.039033486816611875,-0.14848715992880754,0.010169491525423728,-0.06552201685837662
summary_markers_total,0.02822273073989321,0.18313095676733301,0.15840325451309434,0.44662028349514454,0.13018052377320113,5.6126126126126135,0.3813966532184193
avg_syllables_per_word,1.5144434951181303,0.19716801199671044,1.6424421411065933,0.14041900715148614,0.127998645988463,1.084518601321919,0.7478225113211097
summary_marker_overall,0.018815153826595474,0.15180138967288978,0.13475718281210272,0.4141994856514591,0.11594202898550725,7.162162162162162,0.37168842395973734
marker_words_total,0.205441139079583,0.5445567974994648,0.3162979913551996,0.647894567023186,0.11085685227561659,1.5396039603960396,0.18523676702839242
sequential_markers_total_per_1k_words,0.1903217016329686,1.463540734807647,0.09950503243852238,0.7396970131928129,-0.09081666919444623,0.5228254664852447,-0.07832074978319022
word_while,0.11365369946605644,0.3913474116783358,0.1756928553267226,0.46098997727480107,0.06203915586066616,1.54586129753915,0.145090656193072
marker_verbs_total_per_1k_words,0.009457496962251705,0.2939207992248162,0.06507694796573693,0.5709014723022274,0.055619451003485226,6.880990628438222,0.122497037750382
causal_markers_total,0.05288583778286295,0.25265615707584244,0.0010170353419781336,0.03187882328468695,-0.05186880244088482,0.01923076923076923,-0.2880458111833879
sentence_depth_cv,0.31543943169406125,0.13932699167906684,0.2757619268512073,0.11300888304528921,-0.03967750484285393,0.874215139718688,-0.31278503428294485
