dataset,feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
arxiv_ai_abstracts,dep_bigram__pobj->det,dependency bigram,2022-11-30,136,95,41,0.044151270109638444,0.03246646098423338,0.001953194824669255,-6.498015876796556e-05,-0.0007797619052155868,0.0009689698626059363,0.00046313834553424573,6.121870535881469e-05,0.001876721019853058,0.036422208591495316,-0.000395772208894426,-0.004749266506733112,1.9599654355415423e-05,0.0002351958522649851,-0.005210250377172484,-0.004288282636293741,-2.4315375234200363,0.12041597146091768,-2.6675528274834353,-2.1955222193566373,1.1322409669291001e-90,-0.00046075236766239156,-0.005529028411948699,0.9889601508203466,monthly_segmented_wls_hac,6,4.528963867716401e-89,0.05023752909171768
arxiv_ai_abstracts,dep_bigram__dobj->compound,dependency bigram,2022-11-30,136,95,41,0.018097632871615563,0.022297079013823943,0.0012348225751809456,3.616053165592654e-05,0.00043392637987111845,-0.001081816815286928,0.00023240457251894086,-0.001537329777424052,-0.000626303853149804,3.2415984682597515e-06,0.00013071556496021012,0.0015685867795225215,7.617679767696259e-06,9.141215721235511e-05,0.0013894189513863056,0.0017477546076587374,1.2702932478317117,0.074028576290776,1.125197238301791,1.4153892573616327,5.337245946861004e-66,0.00016687609661613666,0.00200251315939364,0.969274710856447,monthly_segmented_wls_hac,6,1.0674491893722009e-64,0.00012966393873039005
arxiv_ai_abstracts,dep_bigram__dobj->amod,dependency bigram,2022-11-30,136,95,41,0.036471325864694495,0.04303270921085276,0.0012307784575048652,2.4783364735848535e-05,0.0002974003768301824,-0.0007201056222724837,0.0003701679029662045,-0.0014456347120862445,5.423467541277021e-06,0.051733033135435,0.0002638993688478234,0.0031667924261738808,1.703523659893982e-05,0.00020442283918727783,0.002766123661366816,0.003567461190980945,2.572999557202083,0.1660923116916594,2.2474586262864302,2.8985404881177352,3.9666701367941693e-54,0.0002886827335836719,0.003464192803004063,0.9686487450757744,monthly_segmented_wls_hac,6,5.288893515725559e-53,0.06466629141929375
arxiv_ai_abstracts,dep_bigram__ROOT->nsubjpass,dependency bigram,2022-11-30,136,95,41,0.006201625995542446,0.004029072935106222,0.0006229137041536859,-1.3250012216115567e-05,-0.0001590001465933868,-0.00021876311164925342,8.243623335450906e-05,-0.0003803381290240912,-5.718809427441565e-05,0.007960862420583109,-4.858739702795868e-05,-0.0005830487643355041,3.2902719096645928e-06,3.948326291597511e-05,-0.0006604359596508154,-0.000505661569020193,-0.9360024678340577,0.06338480379014709,-1.0602366832627461,-0.8117682524053695,2.3917419485708024e-49,-6.183740924407425e-05,-0.0007420489109288911,0.9431431230382905,monthly_segmented_wls_hac,6,2.3917419485708024e-48,0.018479672217774693
arxiv_ai_abstracts,dep_bigram__ROOT->auxpass,dependency bigram,2022-11-30,136,95,41,0.006262447385607244,0.004073317012562297,0.0006244227888144099,-1.3352307893196732e-05,-0.00016022769471836078,-0.0002298589186620369,8.365392648697383e-05,-0.0003938206145765056,-6.58972227475682e-05,0.006000827619697905,-4.8431480094949836e-05,-0.000581177761139398,3.3478346562608966e-06,4.017401587513076e-05,-0.0006599188322546543,-0.0005024366900241418,-0.9307439951749342,0.06433784383720055,-1.0568461690958473,-0.8046418212540212,1.9723156742983344e-47,-6.178378798814656e-05,-0.0007414054558577588,0.944528566802287,monthly_segmented_wls_hac,6,1.5778525394386677e-46,0.01846408498368586
arxiv_ai_abstracts,dep_bigram__xcomp->aux,dependency bigram,2022-11-30,136,95,41,0.007978723295407076,0.00643567763202472,0.00031756626533055725,-2.9045046681327215e-06,-3.485405601759266e-05,0.0003628354474456929,0.00016462645422894126,4.016759715696805e-05,0.0006855032977344177,0.027524881359333446,-8.269898782644681e-05,-0.0009923878539173617,6.449648368689058e-06,7.73957804242687e-05,-0.0011440835835489283,-0.0008406921242857951,-3.124978822559686,0.24371537179399963,-3.6026609512759253,-2.647296693843447,1.23080327695241e-37,-8.560349249457953e-05,-0.0010272419099349543,0.9650020026485614,monthly_segmented_wls_hac,6,8.205355179682733e-37,0.04403981017493352
arxiv_ai_abstracts,dep_bigram__ROOT->advmod,dependency bigram,2022-11-30,136,95,41,0.01188522894806396,0.012607320132938048,0.0008768505824816285,3.202641333703651e-05,0.0003843169600444381,0.0008120845690738689,0.00029945336564601377,0.00022515597240768193,0.001399013165740056,0.006690080229016212,-0.00010433279147632464,-0.0012519934977158957,1.0109806571364147e-05,0.00012131767885636976,-0.0014897761482743806,-0.0010142108471574108,-1.4278299207745888,0.1383561592820309,-1.6990079929673696,-1.1566518485818083,5.724747097195674e-25,-7.230637813928813e-05,-0.0008676765376714577,0.8458055321716398,monthly_segmented_wls_hac,6,3.271284055540385e-24,0.018479672217774693
arxiv_ai_abstracts,dep_bigram__conj->compound,dependency bigram,2022-11-30,136,95,41,0.00570123216701978,0.007409275372139286,0.0004412628053854079,9.08553330772437e-06,0.00010902639969269243,-0.0006377196681241679,0.00029194462168402174,-0.0012099311266248504,-6.550820962348527e-05,0.028933915268273824,8.063654625801001e-05,0.0009676385550961202,8.437811768687827e-06,0.00010125374122425392,0.0007691812222965825,0.0011660958878956578,2.192884927726834,0.22946357587473717,1.7431363190123492,2.642633536441319,1.2172305946736332e-21,8.972207956573438e-05,0.0010766649547888124,0.92541536306572,monthly_segmented_wls_hac,6,6.086152973368166e-21,0.044513715797344346
arxiv_ai_abstracts,dep_bigram__conj->amod,dependency bigram,2022-11-30,136,95,41,0.006352044508743393,0.008364778561783788,0.0003885956293565949,8.89632517407654e-06,0.00010675590208891847,-0.0009733255460404791,0.00037958486876316517,-0.0017173118888162827,-0.00022933920326467544,0.010341862550750895,0.00011205880395521081,0.0013447056474625296,1.2228361609940688e-05,0.00014674033931928826,0.0010570945823967248,0.0016323167125283347,3.4604240137465885,0.37761706059908345,2.7202945749723852,4.200553452520793,5.008062322250783e-20,0.00012095512912928735,0.0014514615495514482,0.9338300921088953,monthly_segmented_wls_hac,6,2.1235910742842344e-19,0.020554300676938368
arxiv_ai_abstracts,dep_bigram__ROOT->prep,dependency bigram,2022-11-30,136,95,41,0.021731230378981826,0.02022805150404083,0.00048446284636858227,2.5359329125786214e-07,3.0431194950943457e-06,0.00017614093586020712,0.0002269229906547461,-0.0002686281258230952,0.0006209099975435094,0.43762229365565253,-7.945322571786265e-05,-0.0009534387086143519,8.676255271380114e-06,0.00010411506325656137,-0.001157504232597212,-0.0007493731846314916,-1.9680326690913466,0.21490825155526994,-2.3892528421396753,-1.5468124960430174,5.308977685710586e-20,-7.919963242660479e-05,-0.0009503955891192574,0.9154418644306592,monthly_segmented_wls_hac,6,2.1235910742842344e-19,0.43762229365565253
