dataset,fkgl_slope_change_per_year,sentence_length_contribution_per_year,syllables_word_contribution_per_year,formula_reconciliation_contribution_per_year,sentence_length_absolute_share,syllables_word_absolute_share,formula_reconciliation_absolute_share,dominant_component,reconstruction_error
arxiv_ai_abstracts,0.5394420098379336,0.07948138564942406,0.49042606718225884,-0.030465442996006276,0.13238669866974762,0.8168691001717276,0.05074420115852474,syllables/word,2.2569064672683936e-12
arxiv_qbio_abstracts,0.5466960197559104,0.004868014117927123,0.5133913039380392,0.028436701700417604,0.008904425753998328,0.9390800104358071,0.052015563810194614,syllables/word,-4.735482839191008e-13
arxiv_stat_abstracts,0.3646376619062016,-0.021029621118226864,0.3262321030843265,0.0594351799403283,0.051708338332564954,0.8021504460966191,0.14614121557081586,syllables/word,-2.2629814688812644e-13
medarxiv_abstracts,0.16588938106468265,-0.12721628229225396,0.22659216219855582,0.0665135011580528,0.3026639070578784,0.5390919140535458,0.15824417888857567,syllables/word,3.2798763704988687e-13
