dataset,feature,family,intervention_date,n_months,n_pre_months,n_post_months,pre_mean,post_mean,pre_sd,pre_slope_per_month,pre_slope_per_year,level_shift,level_shift_se,level_shift_ci_low,level_shift_ci_high,level_shift_p,slope_change_per_month,slope_change_per_year,slope_change_se,slope_change_per_year_se,slope_change_per_year_ci_low,slope_change_per_year_ci_high,standardized_slope_change_per_year,standardized_slope_change_per_year_se,standardized_slope_change_per_year_ci_low,standardized_slope_change_per_year_ci_high,slope_change_p,post_slope_per_month,post_slope_per_year,r_squared,model,hac_lags,slope_change_q,level_shift_q
arxiv_ai_abstracts,fkgl_total,other,2022-11-30,136,95,41,15.850331783690534,16.948621031009925,0.15678134970169383,0.004085905330207683,0.0490308639624922,-0.1302612398571117,0.041921362830199045,-0.2124271110043018,-0.048095368709921565,0.001888200936323438,0.044953500819827796,0.5394420098379336,0.0013080826879689554,0.015696992255627464,0.5086759050169036,0.5702081146589635,3.440728191614143,0.10012027760632218,3.244492447505751,3.636963935722535,8.13899778933331e-259,0.04903940615003548,0.5884728738004257,0.9843413012818902,monthly_segmented_wls_hac,6,5.697298452533316e-258,0.008826164888691297
arxiv_ai_abstracts,fkgl_syllables_word_component,other,2022-11-30,136,95,41,22.25746754779967,23.340709200862793,0.11805360122149106,0.0036377285535460543,0.04365274264255265,-0.01983207985346025,0.025322323175509344,-0.06946383327745856,0.029799673570538067,0.4335181069550077,0.0408688389318549,0.49042606718225884,0.0012653714008711652,0.015184456810453982,0.46066453183376904,0.5201876025307486,4.154266046167673,0.1286234104960936,3.90216416159533,4.406367930740016,7.486228327224264e-229,0.04450656748540096,0.5340788098248115,0.9912450352312904,monthly_segmented_wls_hac,6,2.6201799145284924e-228,0.4335181069550077
arxiv_ai_abstracts,ari_implied_character_word_component,other,2022-11-30,136,95,41,26.936878486277568,28.615371045060023,0.23006352682472803,0.008201066344709518,0.09841279613651421,-0.04939605221065152,0.04345426324823627,-0.13456640817719462,0.035774303755891565,0.2556484069207004,0.05631099966948434,0.6757319960338122,0.0022005478569248438,0.026406574283098123,0.6239751104389398,0.7274888816286844,2.9371539476946857,0.11477949002849006,2.712186147238845,3.162121748150526,1.9948491420286126e-144,0.06451206601419386,0.7741447921703264,0.9902110654712691,monthly_segmented_wls_hac,6,4.654647998066763e-144,0.2982564747408171
arxiv_ai_abstracts,ari_total,other,2022-11-30,136,95,41,17.620280833781724,19.280642904039425,0.2651722613699988,0.00873230460893565,0.1047876553072278,-0.30123966393139595,0.09972452520139968,-0.4966997333261393,-0.10577959453665259,0.002521761396768942,0.06480260070066418,0.7776312084079702,0.0033377061203331087,0.0400524734439973,0.6991283604577354,0.8561340563582048,2.9325511061767124,0.15104322464600284,2.6365063858705464,3.2285958264828776,5.728868412806269e-84,0.07353490530959983,0.882418863715198,0.9861604311043302,monthly_segmented_wls_hac,6,1.002551972241097e-83,0.008826164888691297
arxiv_ai_abstracts,fkgl_sentence_length_component,other,2022-11-30,136,95,41,9.448453831053243,9.434312050003935,0.10080480583207554,0.0004143658462538828,0.004972390155046594,-0.19643801714377304,0.08657489104434923,-0.36612480359069755,-0.026751230696848538,0.023268614308800922,0.0066234488041186715,0.07948138564942406,0.0033557836845065723,0.04026940421407887,0.0005533533898294772,0.15840941790901863,0.7884682182893855,0.39947901175625655,0.005489355247122585,1.5714470813316483,0.048411168108394485,0.007037814650372554,0.08445377580447065,0.3252489513474198,monthly_segmented_wls_hac,6,0.05647969612646078,0.03439930169089621
arxiv_ai_abstracts,ari_sentence_length_component,other,2022-11-30,136,95,41,12.113402347504158,12.095271858979403,0.12923693055394292,0.0005312382644281051,0.0063748591731372616,-0.2518436117227849,0.110993450056858,-0.46939077383422656,-0.03429644961134323,0.02326861430880154,0.00849160103092134,0.10189921237105608,0.0043022867750084175,0.05162744130010101,0.0007094274228581013,0.20308899731925403,0.7884682182893828,0.39947901175625605,0.0054893552471210185,1.5714470813316446,0.04841116810839496,0.009022839295349444,0.10827407154419333,0.3252489513474184,monthly_segmented_wls_hac,6,0.05647969612646078,0.03439930169089621
arxiv_ai_abstracts,fkgl_formula_reconciliation_component,other,2022-11-30,136,95,41,-0.2655895951623853,-0.2364002198568017,0.0612315087541341,3.3810930554653844e-05,0.00040573116665584613,0.08600885713863779,0.03825876370354807,0.011021680279683574,0.160996033997592,0.02457092977921158,-0.0025387869163338564,-0.030465442996006276,0.0016149885374435336,0.019379862449322403,-0.06844997339667819,0.007519087404665633,-0.4975451955354501,0.3165014686660641,-1.1178880741209358,0.1227976830500355,0.11594697048162544,-0.0025049759857792026,-0.03005971182935043,0.20663575053120398,monthly_segmented_wls_hac,6,0.11594697048162546,0.03439930169089621
arxiv_qbio_abstracts,ari_implied_character_word_component,other,2022-11-30,136,95,41,27.174405597934157,28.66142254941704,0.22296751580132274,0.0033455928199230753,0.0401471138390769,-0.017709518134481406,0.10728608157014055,-0.2279902380119569,0.19257120174299408,0.8688903187457582,0.06189092455629767,0.742691094675572,0.002363766735381808,0.028365200824581698,0.6870953010593919,0.7982868882917522,3.3309385540149883,0.12721674151788448,3.0815937406399345,3.580283367390042,4.1312871839241586e-151,0.06523651737622074,0.7828382085146489,0.9514234138844033,monthly_segmented_wls_hac,6,2.891901028746911e-150,0.8688903187457582
arxiv_qbio_abstracts,fkgl_syllables_word_component,other,2022-11-30,136,95,41,22.842547855556546,23.75870027735565,0.135780211876402,0.0013817851275302415,0.0165814215303629,-0.06109795969831655,0.06880178340687845,-0.19594945517579831,0.07375353577916521,0.3745253023650578,0.04278260866150327,0.5133913039380392,0.0017493233621606907,0.020991880345928287,0.47224721846001977,0.5545353894160587,3.7810465666776913,0.15460191183849953,3.478026819474232,4.08406631388115,4.274797492575017e-132,0.04416439378903351,0.5299727254684021,0.9539531109872625,monthly_segmented_wls_hac,6,1.496179122401256e-131,0.43694618609256747
arxiv_qbio_abstracts,fkgl_total,other,2022-11-30,136,95,41,16.638605874375816,17.503125414745693,0.19568022695476397,0.0005025274935566758,0.0060303299226801095,-0.10890667171164653,0.08750052030089889,-0.2804076915014083,0.06259434807811529,0.21326400868394912,0.04555800164632587,0.5466960197559104,0.0021948624458718886,0.026338349350462663,0.4950728550290036,0.5983191844828173,2.7938235163754785,0.13459893092086092,2.5300096117705912,3.0576374209803663,1.0674398367293638e-95,0.046060529139882546,0.5527263496785906,0.8986335182032806,monthly_segmented_wls_hac,6,2.4906929523685156e-95,0.29856961215752875
