feature,diff,p_value,cohens_d,slope,slope_p,change_point,p_adj
summary_markers_total_per_1k_words,26.017104155874716,0.0008392866385853556,3.5460889434718488,0.020847046521183733,5.019786269959493e-05,2026.0,0.07050007764116986
summary_marker_ultimately_per_1k_words,38.72585578471979,0.0008908304565344378,3.916441038525111,0.003273488692932684,0.003068445196382398,2026.0,0.07482975834889277
word_notably_per_1k_words,58.6756357364886,0.0014356625858180073,6.863224441040511,0.01238984456424743,0.0003459882615857904,2026.0,0.12059565720871261
emphasis_marker_notably_per_1k_words,58.6756357364886,0.0014356625858180073,6.863224441040511,0.01238984456424743,0.0003459882615857904,2026.0,0.12059565720871261
contrast_marker_conversely_per_1k_words,37.41283354846383,0.0014494261483127314,3.283097205166681,0.001102836625129576,0.01600529505135991,2026.0,0.12175179645826945
coordination_count,10.512891632722466,0.004523308481245072,3.339388880404615,0.19221345014103872,3.4832315758263034e-07,2019.0,0.37995791242458604
summary_marker_overall_per_1k_words,23.335274122701108,0.005012038599264103,2.769245380208793,0.015512938530252632,4.884712797769627e-05,2026.0,0.4210112423381846
dependency_entropy,0.2733411192788344,0.0056044675746170615,1.6289112671459103,0.0028839190396242036,6.329520899467958e-05,2026.0,0.47077527626783316
word_within_per_1k_words,26.041260749895905,0.005731478004855459,5.643605601026686,0.033777273419760855,0.001919616810668566,2026.0,0.48144415240785854
certainty_ratio,20.82762104724599,0.006657848865560786,4.986602569977393,0.00014794110579957476,0.0002689988863774186,2026.0,0.559259304707106
word_finding_per_1k_words,58.48268640807128,0.0070136629234158945,5.03570563925222,0.05879563739012846,9.244326576030962e-05,2026.0,0.5891476855669351
marker_verbs_total_per_1k_words,61.82880908232804,0.00790730404234478,5.195226008004658,0.21693927662851248,0.000549991513337764,2019.0,0.6642135395569615
emphasis_marker_importantly_per_1k_words,-10.71690717997252,0.009001308494600284,-1.6187707311716524,-0.0017616330569564774,0.007439772336512719,2026.0,0.7561099135464239
adjective_comprehensive_per_1k_words,58.81459724673719,0.009078012908504771,4.507260283606578,0.04502281249465029,0.000929574462689398,2026.0,0.7625530843144008
emphasis_markers_total_per_1k_words,38.11116006372809,0.009523749969992121,5.060281129723787,0.04160543150210498,0.001213785841383094,2026.0,0.7999949974793382
summary_marker_collectively_per_1k_words,28.00002208513308,0.009686408600729097,2.7692148988171277,0.0009420305912552843,0.020433937025600066,2026.0,0.8136583224612441
verb_foster_per_1k_words,61.45173668863135,0.010929674369319735,3.2870980641429703,0.005844777275313843,0.00060132504513352,2026.0,0.9180926470228578
verb_exhibit_per_1k_words,44.77306567145965,0.012464189749029027,4.781500296471593,0.0333899249055469,0.00030728932427608236,2026.0,1.0
verb_underscore_per_1k_words,94.61136039589093,0.01502510006819254,4.580083787623319,0.013684264869660248,0.002632056967624906,2026.0,1.0
causal_marker_thereby_per_1k_words,41.47820524855132,0.017077057933028633,4.118940692962741,0.013617899728936395,0.003947054726510425,2026.0,1.0
causal_marker_hence_per_1k_words,-38.12531336211425,0.018529934231931968,-3.5697555274115516,-0.008794215724153695,0.003421979575215287,2026.0,1.0
verb_align_per_1k_words,62.77923681173607,0.019071830456535783,4.103286677042645,0.04389319458072999,0.00035724929497070777,2026.0,1.0
